Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.45,2017-10-19,2017-11-09,Regular Cash,2017-12-12,Quarter,2017-11-10
0.45,2017-07-20,2017-08-08,Regular Cash,2017-09-12,Quarter,2017-08-10
0.4,2017-04-20,2017-05-08,Regular Cash,2017-06-12,Quarter,2017-05-10
0.4,2017-01-19,2017-02-15,Regular Cash,2017-03-10,Quarter,2017-02-17
0.4,2016-10-20,2016-11-08,Regular Cash,2016-12-12,Quarter,2016-11-10
0.4,2016-07-21,2016-08-08,Regular Cash,2016-09-12,Quarter,2016-08-10
0.4,2016-04-21,2016-05-06,Regular Cash,2016-06-10,Quarter,2016-05-10
0.36,2016-01-21,2016-02-17,Regular Cash,2016-03-11,Quarter,2016-02-19
0.36,2015-10-15,2015-11-06,Regular Cash,2015-12-11,Quarter,2015-11-10
0.36,2015-07-16,2015-08-06,Regular Cash,2015-09-11,Quarter,2015-08-10
2.0,2015-04-16,2015-06-15,Stock Split,2015-06-12,None,2015-05-11
0.36,2015-04-16,2015-05-07,Regular Cash,2015-06-12,Quarter,2015-05-11
0.335,2015-01-15,2015-02-18,Regular Cash,2015-03-12,Quarter,2015-02-20
0.335,2014-10-16,2014-11-06,Regular Cash,2014-12-12,Quarter,2014-11-10
0.335,2014-07-17,2014-08-07,Regular Cash,2014-09-12,Quarter,2014-08-11
0.335,2014-04-17,2014-05-08,Regular Cash,2014-06-12,Quarter,2014-05-12
0.305,2014-01-16,2014-02-19,Regular Cash,2014-03-12,Quarter,2014-02-21
0.305,2013-10-18,2013-11-06,Regular Cash,2013-12-12,Quarter,2013-11-11
0.305,2013-07-18,2013-08-08,Regular Cash,2013-09-12,Quarter,2013-08-12
0.305,2013-04-18,2013-05-08,Regular Cash,2013-06-12,Quarter,2013-05-10
0.295,2013-01-17,2013-02-20,Regular Cash,2013-03-12,Quarter,2013-02-22
3.2562,2012-07-19,2013-01-28,Split-Off,,None,
0.295,2012-10-19,2012-11-07,Regular Cash,2012-12-12,Quarter,2012-11-09
0.295,2012-07-19,2012-08-08,Regular Cash,2012-09-12,Quarter,2012-08-10
0.295,2012-04-19,2012-05-08,Regular Cash,2012-06-12,Quarter,2012-05-10
0.285,2012-01-19,2012-02-15,Regular Cash,2012-03-12,Quarter,2012-02-17
0.285,2011-10-21,2011-11-08,Regular Cash,2011-12-12,Quarter,2011-11-10
0.285,2011-07-21,2011-08-08,Regular Cash,2011-09-12,Quarter,2011-08-10
0.285,2011-04-21,2011-05-06,Regular Cash,2011-06-10,Quarter,2011-05-10
0.275,2011-01-20,2011-02-16,Regular Cash,2011-03-11,Quarter,2011-02-18
0.275,2010-10-22,2010-11-08,Regular Cash,2010-12-10,Quarter,2010-11-10
0.275,2010-07-15,2010-08-06,Regular Cash,2010-09-10,Quarter,2010-08-10
0.27,2010-04-15,2010-05-06,Regular Cash,2010-06-11,Quarter,2010-05-10
0.27,2010-01-21,2010-02-17,Regular Cash,2010-03-12,Quarter,2010-02-19
