Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.0375,2017-10-24,2017-11-21,Regular Cash,2017-12-20,Quarter,2017-11-22
0.0375,2017-07-27,2017-08-22,Regular Cash,2017-09-22,Quarter,2017-08-24
0.0375,2017-04-27,2017-05-16,Regular Cash,2017-06-20,Quarter,2017-05-18
0.0375,2017-02-01,2017-02-22,Regular Cash,2017-03-24,Quarter,2017-02-24
0.0375,2016-10-20,2016-11-21,Regular Cash,2016-12-19,Quarter,2016-11-23
0.0375,2016-07-26,2016-08-22,Regular Cash,2016-09-15,Quarter,2016-08-24
0.0375,2016-04-27,2016-05-17,Regular Cash,2016-06-22,Quarter,2016-05-19
0.0375,2016-02-03,2016-02-23,Regular Cash,2016-03-24,Quarter,2016-02-25
0.0375,2015-10-22,2015-11-18,Regular Cash,2015-12-18,Quarter,2015-11-20
0.0375,2015-07-27,2015-08-24,Regular Cash,2015-09-15,Quarter,2015-08-26
0.0375,2015-04-30,2015-05-19,Regular Cash,2015-06-22,Quarter,2015-05-21
0.0375,2015-02-04,2015-02-24,Regular Cash,2015-03-24,Quarter,2015-02-26
0.0375,2014-10-28,2014-11-18,Regular Cash,2014-12-18,Quarter,2014-11-20
0.0375,2014-07-30,2014-08-26,Regular Cash,2014-09-18,Quarter,2014-08-28
0.0375,2014-05-07,2014-05-21,Regular Cash,2014-06-19,Quarter,2014-05-23
0.0375,2014-02-07,2014-02-24,Regular Cash,2014-03-27,Quarter,2014-02-26
0.0375,2013-10-28,2013-11-18,Regular Cash,2013-12-18,Quarter,2013-11-20
0.0375,2013-07-30,2013-08-26,Regular Cash,2013-09-17,Quarter,2013-08-28
0.0375,2013-05-02,2013-05-20,Regular Cash,2013-06-20,Quarter,2013-05-22
0.0375,2013-03-13,2013-03-21,Regular Cash,2013-04-01,Quarter,2013-03-25
0.0375,2012-10-30,2012-11-19,Regular Cash,2012-12-20,Quarter,2012-11-21
0.0375,2012-07-31,2012-08-21,Regular Cash,2012-09-21,Quarter,2012-08-23
0.0375,2012-04-26,2012-05-15,Regular Cash,2012-06-22,Quarter,2012-05-17
0.0375,2012-02-28,2012-03-13,Regular Cash,2012-03-30,Quarter,2012-03-15
0.0375,2011-11-02,2011-11-15,Regular Cash,2011-12-20,Quarter,2011-11-17
0.0375,2011-08-04,2011-08-16,Regular Cash,2011-09-22,Quarter,2011-08-18
0.0375,2011-04-28,2011-05-17,Regular Cash,2011-06-24,Quarter,2011-05-19
0.0375,2011-03-03,2011-03-14,Regular Cash,2011-03-29,Quarter,2011-03-16
0.0375,2010-11-04,2010-11-16,Regular Cash,2010-12-16,Quarter,2010-11-18
0.0375,2010-08-05,2010-08-16,Regular Cash,2010-09-14,Quarter,2010-08-18
0.0375,2010-04-29,2010-05-18,Regular Cash,2010-06-24,Quarter,2010-05-20
0.0375,2010-03-18,2010-03-22,Regular Cash,2010-03-31,Quarter,2010-03-24
