Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.24,2017-10-31,2017-11-22,Regular Cash,2017-12-15,Quarter,2017-11-24
0.24,2017-08-01,2017-08-23,Regular Cash,2017-09-15,Quarter,2017-08-25
0.24,2017-05-03,2017-05-23,Regular Cash,2017-06-15,Quarter,2017-05-25
0.24,2017-02-08,2017-02-22,Regular Cash,2017-03-15,Quarter,2017-02-24
0.22,2016-11-01,2016-11-22,Regular Cash,2016-12-15,Quarter,2016-11-25
0.22,2016-08-02,2016-08-23,Regular Cash,2016-09-15,Quarter,2016-08-25
0.22,2016-05-04,2016-05-23,Regular Cash,2016-06-15,Quarter,2016-05-25
0.22,2016-02-11,2016-02-23,Regular Cash,2016-03-15,Quarter,2016-02-25
0.2,2015-10-29,2015-11-23,Regular Cash,2015-12-15,Quarter,2015-11-25
0.2,2015-07-30,2015-08-21,Regular Cash,2015-09-15,Quarter,2015-08-25
0.2,2015-04-30,2015-05-20,Regular Cash,2015-06-15,Quarter,2015-05-22
0.2,2015-02-11,2015-02-23,Regular Cash,2015-03-13,Quarter,2015-02-25
0.18,2014-10-29,2014-11-21,Regular Cash,2014-12-15,Quarter,2014-11-25
0.18,2014-07-29,2014-08-21,Regular Cash,2014-09-15,Quarter,2014-08-25
0.18,2014-05-06,2014-05-21,Regular Cash,2014-06-16,Quarter,2014-05-23
0.18,2014-02-11,2014-02-21,Regular Cash,2014-03-14,Quarter,2014-02-25
0.16,2013-10-30,2013-11-21,Regular Cash,2013-12-16,Quarter,2013-11-25
0.16,2013-07-30,2013-08-22,Regular Cash,2013-09-16,Quarter,2013-08-26
0.16,2013-05-02,2013-05-22,Regular Cash,2013-06-14,Quarter,2013-05-24
0.16,2013-02-12,2013-02-21,Regular Cash,2013-03-15,Quarter,2013-02-25
0.15,2012-11-08,2012-11-21,Regular Cash,2012-12-14,Quarter,2012-11-26
0.15,2012-08-01,2012-08-22,Regular Cash,2012-09-14,Quarter,2012-08-24
0.15,2012-05-02,2012-05-23,Regular Cash,2012-06-15,Quarter,2012-05-25
0.15,2012-02-08,2012-02-22,Regular Cash,2012-03-15,Quarter,2012-02-24
0.14,2011-11-02,2011-11-21,Regular Cash,2011-12-15,Quarter,2011-11-23
0.14,2011-07-27,2011-08-23,Regular Cash,2011-09-15,Quarter,2011-08-25
0.14,2011-05-04,2011-05-23,Regular Cash,2011-06-15,Quarter,2011-05-25
0.14,2011-02-09,2011-02-23,Regular Cash,2011-03-15,Quarter,2011-02-25
0.13,2010-11-03,2010-11-22,Regular Cash,2010-12-15,Quarter,2010-11-25
0.13,2010-07-28,2010-08-23,Regular Cash,2010-09-15,Quarter,2010-08-25
0.13,2010-05-06,2010-05-21,Regular Cash,2010-06-15,Quarter,2010-05-25
0.13,2010-02-10,2010-02-23,Regular Cash,2010-03-15,Quarter,2010-02-25
