Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.5,2017-12-14,2017-12-28,Regular Cash,2018-01-12,Quarter,2017-12-29
0.5,2017-09-15,2017-09-28,Regular Cash,2017-10-13,Quarter,2017-09-29
0.5,2017-06-16,2017-06-28,Regular Cash,2017-07-14,Quarter,2017-06-30
0.5,2017-03-10,2017-03-29,Regular Cash,2017-04-13,Quarter,2017-03-31
0.5,2016-12-13,2016-12-28,Regular Cash,2017-01-13,Quarter,2016-12-30
0.5,2016-08-31,2016-09-28,Regular Cash,2016-10-14,Quarter,2016-09-30
0.5,2016-06-21,2016-06-29,Regular Cash,2016-07-15,Quarter,2016-07-01
0.5,2016-03-11,2016-03-30,Regular Cash,2016-04-15,Quarter,2016-04-01
0.5,2015-12-11,2015-12-22,Regular Cash,2016-01-08,Quarter,2015-12-24
0.5,2015-09-14,2015-09-23,Regular Cash,2015-10-09,Quarter,2015-09-25
0.5,2015-06-11,2015-06-24,Regular Cash,2015-07-10,Quarter,2015-06-26
0.5,2015-02-04,2015-03-25,Regular Cash,2015-04-10,Quarter,2015-03-27
0.45,2014-12-11,2014-12-23,Regular Cash,2015-01-09,Quarter,2014-12-26
0.45,2014-09-11,2014-09-24,Regular Cash,2014-10-10,Quarter,2014-09-26
0.45,2014-06-12,2014-06-25,Regular Cash,2014-07-11,Quarter,2014-06-27
0.45,2014-03-11,2014-03-26,Regular Cash,2014-04-11,Quarter,2014-03-28
0.45,2013-11-06,2013-12-24,Regular Cash,2014-01-10,Quarter,2013-12-27
0.4,2013-09-11,2013-09-25,Regular Cash,2013-10-11,Quarter,2013-09-27
0.4,2013-06-18,2013-06-27,Regular Cash,2013-07-12,Quarter,2013-07-01
0.4,2013-03-18,2013-03-26,Regular Cash,2013-04-12,Quarter,2013-03-29
0.4,2012-12-07,2012-12-13,Regular Cash,2012-12-28,Quarter,2012-12-17
0.4,2012-09-17,2012-09-26,Regular Cash,2012-10-12,Quarter,2012-09-28
0.4,2012-05-22,2012-06-27,Regular Cash,2012-07-13,Quarter,2012-06-29
0.2,2012-03-19,2012-03-28,Regular Cash,2012-04-13,Quarter,2012-03-30
0.2,2011-12-19,2011-12-28,Regular Cash,2012-01-13,Quarter,2011-12-30
0.2,2011-09-19,2011-09-28,Regular Cash,2011-10-14,Quarter,2011-09-30
0.2,2011-06-20,2011-06-29,Regular Cash,2011-07-15,Quarter,2011-07-01
0.2,2011-02-09,2011-03-30,Regular Cash,2011-04-15,Quarter,2011-04-01
0.1,2010-12-20,2010-12-29,Regular Cash,2011-01-14,Quarter,2010-12-31
0.1,2010-09-20,2010-09-29,Regular Cash,2010-10-15,Quarter,2010-10-01
0.1,2010-06-22,2010-06-30,Regular Cash,2010-07-16,Quarter,2010-07-02
0.1,2010-03-22,2010-03-30,Regular Cash,2010-04-16,Quarter,2010-04-02
