Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.16,2017-11-15,2017-11-30,Regular Cash,2017-12-29,Quarter,2017-12-01
0.16,2017-08-16,2017-09-06,Regular Cash,2017-09-29,Quarter,2017-09-07
0.16,2017-05-17,2017-06-02,Regular Cash,2017-06-30,Quarter,2017-06-06
0.16,2017-02-28,2017-03-08,Regular Cash,2017-03-31,Quarter,2017-03-10
0.135,2016-11-16,2016-12-05,Regular Cash,2016-12-30,Quarter,2016-12-07
0.135,2016-08-17,2016-08-31,Regular Cash,2016-09-30,Quarter,2016-09-02
0.135,2016-05-18,2016-06-03,Regular Cash,2016-06-30,Quarter,2016-06-07
0.135,2016-03-01,2016-03-10,Regular Cash,2016-03-31,Quarter,2016-03-14
0.1175,2015-11-18,2015-12-07,Regular Cash,2015-12-31,Quarter,2015-12-09
0.1175,2015-08-19,2015-09-02,Regular Cash,2015-09-30,Quarter,2015-09-04
2.0,2015-03-24,2015-06-12,Stock Split,2015-06-11,None,2015-04-22
0.1175,2015-05-20,2015-06-05,Regular Cash,2015-06-30,Quarter,2015-06-09
0.1175,2015-02-26,2015-03-05,Regular Cash,2015-03-31,Quarter,2015-03-09
0.1,2014-11-19,2014-12-08,Regular Cash,2014-12-31,Quarter,2014-12-10
0.1,2014-08-20,2014-09-03,Regular Cash,2014-09-30,Quarter,2014-09-05
0.1,2014-05-21,2014-06-06,Regular Cash,2014-06-30,Quarter,2014-06-10
0.1,2014-02-27,2014-03-06,Regular Cash,2014-03-31,Quarter,2014-03-10
0.085,2013-11-19,2013-12-09,Regular Cash,2013-12-31,Quarter,2013-12-11
0.085,2013-08-21,2013-09-04,Regular Cash,2013-09-30,Quarter,2013-09-06
0.085,2013-05-22,2013-06-07,Regular Cash,2013-06-28,Quarter,2013-06-11
0.085,2013-02-07,2013-02-20,Regular Cash,2013-03-29,Quarter,2013-02-22
0.07,2012-11-14,2012-12-03,Regular Cash,2012-12-28,Quarter,2012-12-05
0.07,2012-08-15,2012-08-29,Regular Cash,2012-09-28,Quarter,2012-08-31
0.07,2012-05-16,2012-06-01,Regular Cash,2012-06-29,Quarter,2012-06-05
0.07,2012-02-02,2012-02-15,Regular Cash,2012-03-30,Quarter,2012-02-17
2.0,2011-11-17,2011-12-16,Stock Split,2011-12-15,None,2011-11-29
0.055,2011-11-17,2011-11-25,Regular Cash,2011-12-30,Quarter,2011-11-29
0.055,2011-08-17,2011-08-31,Regular Cash,2011-09-30,Quarter,2011-09-02
0.055,2011-05-18,2011-06-03,Regular Cash,2011-06-30,Quarter,2011-06-07
0.055,2011-02-03,2011-02-16,Regular Cash,2011-03-31,Quarter,2011-02-18
0.04,2010-11-17,2010-12-03,Regular Cash,2010-12-31,Quarter,2010-12-07
0.04,2010-08-18,2010-08-31,Regular Cash,2010-09-30,Quarter,2010-09-02
0.04,2010-05-19,2010-06-03,Regular Cash,2010-06-30,Quarter,2010-06-07
0.04,2010-02-04,2010-02-17,Regular Cash,2010-03-31,Quarter,2010-02-19
