Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.16,2017-10-05,2017-11-30,Regular Cash,2017-12-15,Quarter,2017-12-01
0.16,2017-07-07,2017-08-30,Regular Cash,2017-09-15,Quarter,2017-09-01
0.16,2017-05-18,2017-05-31,Regular Cash,2017-06-16,Quarter,2017-06-02
0.16,2017-02-15,2017-03-01,Regular Cash,2017-03-17,Quarter,2017-03-03
0.16,2016-10-06,2016-11-30,Regular Cash,2016-12-16,Quarter,2016-12-02
0.16,2016-07-07,2016-08-31,Regular Cash,2016-09-16,Quarter,2016-09-02
0.16,2016-03-21,2016-06-01,Regular Cash,2016-06-17,Quarter,2016-06-03
0.13,2016-02-17,2016-03-02,Regular Cash,2016-03-18,Quarter,2016-03-04
0.13,2015-10-08,2015-12-02,Regular Cash,2015-12-18,Quarter,2015-12-04
0.13,2015-07-09,2015-09-02,Regular Cash,2015-09-18,Quarter,2015-09-04
0.13,2015-05-14,2015-06-03,Regular Cash,2015-06-19,Quarter,2015-06-05
0.13,2015-02-17,2015-03-04,Regular Cash,2015-03-20,Quarter,2015-03-06
0.13,2014-10-17,2014-12-03,Regular Cash,2014-12-19,Quarter,2014-12-05
0.13,2014-07-10,2014-09-03,Regular Cash,2014-09-19,Quarter,2014-09-05
0.13,2014-05-22,2014-06-04,Regular Cash,2014-06-20,Quarter,2014-06-06
0.13,2014-02-18,2014-03-05,Regular Cash,2014-03-21,Quarter,2014-03-07
0.13,2013-10-10,2013-12-04,Regular Cash,2013-12-20,Quarter,2013-12-06
0.13,2013-07-11,2013-09-04,Regular Cash,2013-09-20,Quarter,2013-09-06
0.13,2013-04-11,2013-06-05,Regular Cash,2013-06-21,Quarter,2013-06-07
0.13,2013-02-14,2013-02-27,Regular Cash,2013-03-15,Quarter,2013-03-01
0.13,2012-10-11,2012-11-28,Regular Cash,2012-12-14,Quarter,2012-11-30
0.13,2012-07-12,2012-08-29,Regular Cash,2012-09-14,Quarter,2012-08-31
0.13,2012-04-19,2012-05-30,Regular Cash,2012-06-15,Quarter,2012-06-01
0.13,2012-02-16,2012-02-29,Regular Cash,2012-03-16,Quarter,2012-03-02
0.13,2011-10-13,2011-11-30,Regular Cash,2011-12-16,Quarter,2011-12-02
0.13,2011-07-14,2011-08-31,Regular Cash,2011-09-16,Quarter,2011-09-02
0.13,2011-04-07,2011-06-01,Regular Cash,2011-06-17,Quarter,2011-06-03
0.13,2011-02-17,2011-03-02,Regular Cash,2011-03-18,Quarter,2011-03-04
0.13,2010-10-14,2010-12-01,Regular Cash,2010-12-17,Quarter,2010-12-03
0.13,2010-07-27,2010-09-01,Regular Cash,2010-09-17,Quarter,2010-09-03
0.12,2010-04-13,2010-06-02,Regular Cash,2010-06-18,Quarter,2010-06-04
0.12,2010-02-18,2010-03-03,Regular Cash,2010-03-19,Quarter,2010-03-05
