Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.42,2017-12-14,2017-12-29,Regular Cash,2018-01-17,Quarter,2018-01-02
0.42,2017-07-20,2017-09-29,Regular Cash,2017-10-16,Quarter,2017-10-02
0.38,2017-05-17,2017-06-29,Regular Cash,2017-07-18,Quarter,2017-07-03
0.38,2017-02-16,2017-03-30,Regular Cash,2017-04-18,Quarter,2017-04-03
0.38,2016-12-15,2016-12-29,Regular Cash,2017-01-18,Quarter,2017-01-03
0.38,2016-09-15,2016-09-29,Regular Cash,2016-10-17,Quarter,2016-10-03
0.34,2016-05-19,2016-06-29,Regular Cash,2016-07-18,Quarter,2016-07-01
0.34,2016-02-18,2016-03-30,Regular Cash,2016-04-15,Quarter,2016-04-01
0.34,2015-12-17,2015-12-30,Regular Cash,2016-01-19,Quarter,2016-01-04
0.34,2015-08-28,2015-09-29,Regular Cash,2015-10-15,Quarter,2015-10-01
0.34,2015-05-20,2015-06-29,Regular Cash,2015-07-16,Quarter,2015-07-01
0.3,2015-02-19,2015-03-30,Regular Cash,2015-04-16,Quarter,2015-04-01
0.3,2014-12-11,2014-12-30,Regular Cash,2015-01-16,Quarter,2015-01-02
0.3,2014-07-17,2014-09-29,Regular Cash,2014-10-16,Quarter,2014-10-01
0.3,2014-03-26,2014-06-27,Regular Cash,2014-07-16,Quarter,2014-07-01
0.26,2014-02-20,2014-03-28,Regular Cash,2014-04-15,Quarter,2014-04-01
0.26,2013-12-19,2013-12-30,Regular Cash,2014-01-16,Quarter,2014-01-02
0.26,2013-07-18,2013-09-27,Regular Cash,2013-10-15,Quarter,2013-10-01
0.26,2013-05-15,2013-06-27,Regular Cash,2013-07-16,Quarter,2013-07-01
0.26,2013-02-21,2013-03-27,Regular Cash,2013-04-12,Quarter,2013-04-01
0.24,2012-12-13,2012-12-28,Regular Cash,2013-01-15,Quarter,2013-01-02
0.24,2012-09-20,2012-09-27,Regular Cash,2012-10-12,Quarter,2012-10-01
0.24,2012-05-16,2012-06-28,Regular Cash,2012-07-16,Quarter,2012-07-02
0.24,2012-03-14,2012-03-29,Regular Cash,2012-04-16,Quarter,2012-04-02
0.18,2011-12-15,2011-12-29,Regular Cash,2012-01-17,Quarter,2012-01-03
0.18,2011-09-15,2011-09-29,Regular Cash,2011-10-17,Quarter,2011-10-03
0.18,2011-06-16,2011-06-29,Regular Cash,2011-07-18,Quarter,2011-07-01
0.18,2011-03-18,2011-03-30,Regular Cash,2011-04-15,Quarter,2011-04-01
0.01,2010-12-16,2010-12-30,Regular Cash,2011-01-18,Quarter,2011-01-03
0.01,2010-09-16,2010-09-29,Regular Cash,2010-10-15,Quarter,2010-10-01
0.01,2010-06-17,2010-06-29,Regular Cash,2010-07-16,Quarter,2010-07-01
0.01,2010-02-25,2010-03-30,Regular Cash,2010-04-16,Quarter,2010-04-01
