Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.23,2014-12-15,2014-12-23,Regular Cash,2015-01-02,Quarter,2014-12-26
0.23,2014-08-22,2014-09-16,Regular Cash,2014-10-09,Quarter,2014-09-18
0.23,2014-05-14,2014-06-17,Regular Cash,2014-07-10,Quarter,2014-06-19
0.164291,2014-02-19,2014-04-15,Spinoff,2014-04-14,None,2014-04-03
0.2,2014-03-12,2014-03-20,Regular Cash,2014-04-10,Quarter,2014-03-24
0.2,2013-12-05,2013-12-17,Regular Cash,2014-01-09,Quarter,2013-12-19
1.0,2013-09-17,2013-09-17,Poison Pill Rights,,None,2013-09-30
0.2,2013-08-22,2013-09-17,Regular Cash,2013-10-10,Quarter,2013-09-19
0.2,2013-05-14,2013-06-18,Regular Cash,2013-07-11,Quarter,2013-06-20
0.175,2013-03-15,2013-03-21,Regular Cash,2013-04-11,Quarter,2013-03-25
0.175,2012-12-06,2012-12-13,Regular Cash,2012-12-31,Quarter,2012-12-17
0.175,2012-08-23,2012-09-18,Regular Cash,2012-10-11,Quarter,2012-09-20
0.175,2012-05-15,2012-06-19,Regular Cash,2012-07-12,Quarter,2012-06-21
0.145,2012-03-16,2012-03-27,Regular Cash,2012-04-12,Quarter,2012-03-29
0.145,2011-12-08,2011-12-20,Regular Cash,2012-01-12,Quarter,2011-12-22
0.145,2011-08-24,2011-09-20,Regular Cash,2011-10-13,Quarter,2011-09-22
0.145,2011-05-19,2011-06-21,Regular Cash,2011-07-14,Quarter,2011-06-23
0.12,2011-03-16,2011-03-22,Regular Cash,2011-04-14,Quarter,2011-03-24
0.12,2010-12-08,2010-12-21,Regular Cash,2011-01-13,Quarter,2010-12-23
0.12,2010-08-25,2010-09-21,Regular Cash,2010-10-14,Quarter,2010-09-23
0.12,2010-05-19,2010-06-22,Regular Cash,2010-07-15,Quarter,2010-06-24
0.1,2010-03-11,2010-03-23,Regular Cash,2010-04-15,Quarter,2010-03-25
