Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.21702,2015-06-15,2015-06-30,Pro Rata,,Quarter,
0.68,2015-05-14,2015-05-27,Regular Cash,2015-06-19,Quarter,2015-05-29
0.68,2015-02-12,2015-02-25,Regular Cash,2015-03-20,Quarter,2015-02-27
0.68,2014-11-13,2014-11-24,Regular Cash,2014-12-19,Quarter,2014-11-26
0.68,2014-08-14,2014-08-27,Regular Cash,2014-09-20,Quarter,2014-08-29
0.68,2014-05-15,2014-05-28,Regular Cash,2014-06-20,Quarter,2014-05-30
0.68,2014-02-13,2014-02-26,Regular Cash,2014-03-20,Quarter,2014-02-28
0.68,2013-11-14,2013-11-25,Regular Cash,2013-12-20,Quarter,2013-11-27
0.68,2013-08-15,2013-08-28,Regular Cash,2013-09-20,Quarter,2013-08-30
0.68,2013-05-16,2013-05-29,Regular Cash,2013-06-20,Quarter,2013-05-31
0.68,2013-02-14,2013-02-26,Regular Cash,2013-03-20,Quarter,2013-02-28
0.68,2012-11-09,2012-11-28,Regular Cash,2012-12-20,Quarter,2012-11-30
0.68,2012-08-16,2012-08-29,Regular Cash,2012-09-20,Quarter,2012-08-31
0.68,2012-05-10,2012-05-29,Regular Cash,2012-06-20,Quarter,2012-05-31
0.68,2012-02-09,2012-02-27,Regular Cash,2012-03-20,Quarter,2012-02-29
0.68,2011-11-11,2011-11-28,Regular Cash,2011-12-20,Quarter,2011-11-30
0.68,2011-07-12,2011-08-29,Regular Cash,2011-09-20,Quarter,2011-08-31
0.68,2011-05-11,2011-05-26,Regular Cash,2011-06-20,Quarter,2011-05-31
0.68,2011-02-11,2011-02-24,Regular Cash,2011-03-19,Quarter,2011-02-28
0.68,2010-10-14,2010-11-26,Regular Cash,2010-12-20,Quarter,2010-11-30
0.68,2010-07-16,2010-08-27,Regular Cash,2010-09-20,Quarter,2010-08-31
0.68,2010-04-15,2010-05-26,Regular Cash,2010-06-19,Quarter,2010-05-28
0.68,2010-02-16,2010-02-24,Regular Cash,2010-03-20,Quarter,2010-02-26
