Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.15,2017-11-09,2017-12-14,Regular Cash,2018-01-15,Quarter,2017-12-15
0.15,2017-07-12,2017-09-14,Regular Cash,2017-10-16,Quarter,2017-09-15
0.15,2017-05-18,2017-06-13,Regular Cash,2017-07-17,Quarter,2017-06-15
0.15,2017-02-28,2017-03-13,Regular Cash,2017-04-17,Quarter,2017-03-15
0.15,2016-11-10,2016-12-13,Regular Cash,2017-01-16,Quarter,2016-12-15
0.15,2016-07-07,2016-09-13,Regular Cash,2016-10-17,Quarter,2016-09-15
0.15,2016-05-18,2016-06-13,Regular Cash,2016-07-15,Quarter,2016-06-15
0.15,2016-02-25,2016-03-11,Regular Cash,2016-04-15,Quarter,2016-03-15
0.15,2015-11-12,2015-12-11,Regular Cash,2016-01-15,Quarter,2015-12-15
0.15,2015-07-10,2015-09-11,Regular Cash,2015-10-15,Quarter,2015-09-15
0.15,2015-05-21,2015-06-11,Regular Cash,2015-07-15,Quarter,2015-06-15
0.15,2015-02-26,2015-03-12,Regular Cash,2015-04-15,Quarter,2015-03-16
0.15,2014-11-07,2014-12-11,Regular Cash,2015-01-15,Quarter,2014-12-15
0.15,2014-07-10,2014-09-11,Regular Cash,2014-10-15,Quarter,2014-09-15
0.15,2014-05-21,2014-06-12,Regular Cash,2014-07-15,Quarter,2014-06-16
0.15,2014-02-27,2014-03-13,Regular Cash,2014-04-15,Quarter,2014-03-17
0.15,2013-11-07,2013-12-12,Regular Cash,2014-01-15,Quarter,2013-12-16
0.15,2013-07-12,2013-09-12,Regular Cash,2013-10-15,Quarter,2013-09-16
0.15,2013-05-23,2013-06-13,Regular Cash,2013-07-15,Quarter,2013-06-17
0.15,2013-02-27,2013-03-13,Regular Cash,2013-04-15,Quarter,2013-03-15
0.15,2012-11-08,2012-12-13,Regular Cash,2013-01-15,Quarter,2012-12-17
0.13,2012-07-12,2012-09-13,Regular Cash,2012-10-15,Quarter,2012-09-17
0.13,2012-05-24,2012-06-13,Regular Cash,2012-07-16,Quarter,2012-06-15
0.13,2012-02-29,2012-03-13,Regular Cash,2012-04-16,Quarter,2012-03-15
