Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.195,2017-10-18,2017-11-16,Regular Cash,2017-12-05,Quarter,2017-11-17
0.165,2017-07-18,2017-08-16,Regular Cash,2017-09-05,Quarter,2017-08-18
0.165,2017-04-18,2017-05-17,Regular Cash,2017-06-06,Quarter,2017-05-19
0.165,2017-02-01,2017-02-15,Regular Cash,2017-03-07,Quarter,2017-02-17
0.165,2016-10-18,2016-11-16,Regular Cash,2016-12-06,Quarter,2016-11-18
0.14,2016-07-19,2016-08-17,Regular Cash,2016-09-06,Quarter,2016-08-19
0.14,2016-04-20,2016-05-11,Regular Cash,2016-06-07,Quarter,2016-05-13
0.14,2016-02-05,2016-02-17,Regular Cash,2016-03-01,Quarter,2016-02-19
0.14,2015-10-21,2015-11-10,Regular Cash,2015-12-01,Quarter,2015-11-13
0.12,2015-07-22,2015-08-12,Regular Cash,2015-09-01,Quarter,2015-08-14
0.12,2015-04-23,2015-05-13,Regular Cash,2015-06-02,Quarter,2015-05-15
4.0,2015-01-29,2015-03-19,Stock Split,2015-03-18,None,2015-02-13
0.12,2015-01-28,2015-02-11,Regular Cash,2015-03-03,Quarter,2015-02-13
0.12,2014-10-22,2014-11-12,Regular Cash,2014-12-02,Quarter,2014-11-14
0.1,2014-07-23,2014-08-13,Regular Cash,2014-09-03,Quarter,2014-08-15
0.1,2014-04-23,2014-05-14,Regular Cash,2014-06-03,Quarter,2014-05-16
0.1,2014-01-29,2014-02-12,Regular Cash,2014-03-04,Quarter,2014-02-14
0.1,2013-10-23,2013-11-13,Regular Cash,2013-12-03,Quarter,2013-11-15
0.0825,2013-07-16,2013-08-14,Regular Cash,2013-09-04,Quarter,2013-08-16
0.0825,2013-04-24,2013-05-15,Regular Cash,2013-06-04,Quarter,2013-05-17
0.0825,2013-01-30,2013-02-13,Regular Cash,2013-03-05,Quarter,2013-02-15
0.0825,2012-10-24,2012-11-14,Regular Cash,2012-12-04,Quarter,2012-11-16
0.055,2012-07-19,2012-08-15,Regular Cash,2012-09-04,Quarter,2012-08-17
0.055,2012-04-26,2012-05-16,Regular Cash,2012-06-05,Quarter,2012-05-18
0.055,2012-02-01,2012-02-15,Regular Cash,2012-03-06,Quarter,2012-02-17
0.055,2011-10-19,2011-11-16,Regular Cash,2011-12-06,Quarter,2011-11-18
0.0375,2011-07-22,2011-08-17,Regular Cash,2011-09-07,Quarter,2011-08-19
0.0375,2011-04-25,2011-05-18,Regular Cash,2011-06-07,Quarter,2011-05-20
0.0375,2011-01-27,2011-02-09,Regular Cash,2011-03-01,Quarter,2011-02-11
0.0375,2010-10-20,2010-11-17,Regular Cash,2010-12-07,Quarter,2010-11-19
0.03125,2010-07-22,2010-08-11,Regular Cash,2010-09-01,Quarter,2010-08-13
0.03125,2010-04-20,2010-05-12,Regular Cash,2010-06-02,Quarter,2010-05-14
0.03125,2010-01-21,2010-02-10,Regular Cash,2010-03-02,Quarter,2010-02-12
