Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.79,2017-12-11,2017-12-29,Regular Cash,2018-01-12,Quarter,2018-01-02
0.775,2017-08-30,2017-09-11,Regular Cash,2017-09-29,Quarter,2017-09-12
0.775,2017-05-18,2017-06-02,Regular Cash,2017-06-30,Quarter,2017-06-06
0.775,2017-02-10,2017-03-03,Regular Cash,2017-03-31,Quarter,2017-03-07
0.775,2016-12-08,2016-12-16,Regular Cash,2016-12-30,Quarter,2016-12-20
0.73,2016-08-29,2016-09-13,Regular Cash,2016-09-30,Quarter,2016-09-15
0.73,2016-05-10,2016-06-02,Regular Cash,2016-06-30,Quarter,2016-06-06
0.73,2016-02-12,2016-03-03,Regular Cash,2016-03-31,Quarter,2016-03-07
0.73,2015-12-11,2015-12-17,Regular Cash,2015-12-30,Quarter,2015-12-21
0.73,2015-09-03,2015-09-11,Regular Cash,2015-09-30,Quarter,2015-09-15
0.25,2015-04-06,2015-08-18,Spinoff,2015-08-17,None,2015-08-10
0.79,2015-05-14,2015-06-03,Regular Cash,2015-06-30,Quarter,2015-06-05
0.5793,2015-02-13,2015-03-04,Pro Rata,2015-03-31,Quarter,2015-03-06
0.2107,2015-01-06,2015-01-20,Pro Rata,2015-01-27,Quarter,2015-01-15
0.79,2014-12-10,2014-12-18,Regular Cash,2014-12-31,Quarter,2014-12-22
0.725,2014-09-02,2014-09-10,Regular Cash,2014-09-30,Quarter,2014-09-12
0.725,2014-05-15,2014-06-04,Regular Cash,2014-06-27,Quarter,2014-06-06
0.725,2014-02-14,2014-03-05,Regular Cash,2014-03-28,Quarter,2014-03-07
0.725,2013-12-09,2013-12-12,Regular Cash,2013-12-31,Quarter,2013-12-16
0.67,2013-09-03,2013-09-11,Regular Cash,2013-09-27,Quarter,2013-09-13
0.67,2013-05-17,2013-06-03,Regular Cash,2013-06-28,Quarter,2013-06-05
0.67,2013-02-15,2013-03-06,Regular Cash,2013-03-28,Quarter,2013-03-08
0.62,2012-12-06,2012-12-13,Regular Cash,2012-12-28,Quarter,2012-12-17
0.62,2012-08-30,2012-09-07,Regular Cash,2012-09-28,Quarter,2012-09-11
0.62,2012-05-17,2012-06-06,Regular Cash,2012-06-29,Quarter,2012-06-08
0.62,2012-02-17,2012-03-07,Regular Cash,2012-03-29,Quarter,2012-03-09
0.575,2011-12-05,2011-12-13,Regular Cash,2011-12-30,Quarter,2011-12-15
0.4486,2011-08-19,2011-09-09,Pro Rata,2011-09-30,Quarter,2011-09-13
0.1264,2011-06-20,2011-07-05,Pro Rata,2011-07-12,Quarter,2011-06-30
0.575,2011-05-16,2011-06-08,Regular Cash,2011-06-30,Quarter,2011-06-10
0.575,2011-02-17,2011-03-09,Regular Cash,2011-03-31,Quarter,2011-03-11
0.535,2010-12-07,2010-12-15,Regular Cash,2010-12-30,Quarter,2010-12-17
0.535,2010-09-02,2010-09-15,Regular Cash,2010-09-30,Quarter,2010-09-17
0.535,2010-05-03,2010-06-09,Regular Cash,2010-06-30,Quarter,2010-06-11
0.535,2010-02-18,2010-03-10,Regular Cash,2010-03-31,Quarter,2010-03-12
