Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.4,2017-10-24,2017-11-10,Regular Cash,2017-12-12,Quarter,2017-11-13
0.4,2017-07-12,2017-08-16,Regular Cash,2017-09-12,Quarter,2017-08-18
0.375,2017-04-20,2017-05-16,Regular Cash,2017-06-12,Quarter,2017-05-18
0.375,2017-01-26,2017-02-13,Regular Cash,2017-03-10,Quarter,2017-02-15
0.375,2016-10-12,2016-11-15,Regular Cash,2016-12-12,Quarter,2016-11-17
0.375,2016-07-13,2016-08-17,Regular Cash,2016-09-12,Quarter,2016-08-19
0.36,2016-04-12,2016-05-16,Regular Cash,2016-06-10,Quarter,2016-05-18
0.36,2016-01-28,2016-02-16,Regular Cash,2016-03-11,Quarter,2016-02-18
0.36,2015-10-14,2015-11-12,Regular Cash,2015-12-11,Quarter,2015-11-16
0.36,2015-07-09,2015-08-17,Regular Cash,2015-09-11,Quarter,2015-08-19
0.3375,2015-04-08,2015-05-19,Regular Cash,2015-06-12,Quarter,2015-05-21
0.3375,2015-01-15,2015-02-13,Regular Cash,2015-03-12,Quarter,2015-02-18
0.3375,2014-10-08,2014-11-13,Regular Cash,2014-12-12,Quarter,2014-11-17
0.3375,2014-08-05,2014-08-19,Regular Cash,2014-09-12,Quarter,2014-08-21
0.315,2014-04-09,2014-05-19,Regular Cash,2014-06-12,Quarter,2014-05-21
0.315,2014-01-09,2014-02-13,Regular Cash,2014-03-12,Quarter,2014-02-18
0.315,2013-10-09,2013-11-14,Regular Cash,2013-12-12,Quarter,2013-11-18
0.315,2013-07-10,2013-08-16,Regular Cash,2013-09-12,Quarter,2013-08-20
0.275,2013-04-10,2013-05-17,Regular Cash,2013-06-12,Quarter,2013-05-21
0.275,2013-01-10,2013-02-13,Regular Cash,2013-03-12,Quarter,2013-02-15
0.275,2012-10-10,2012-11-07,Regular Cash,2012-12-12,Quarter,2012-11-12
0.275,2012-06-19,2012-08-15,Regular Cash,2012-09-12,Quarter,2012-08-17
0.225,2012-04-09,2012-05-17,Regular Cash,2012-06-12,Quarter,2012-05-21
0.225,2012-01-12,2012-02-15,Regular Cash,2012-03-12,Quarter,2012-02-17
0.225,2011-10-12,2011-11-09,Regular Cash,2011-12-12,Quarter,2011-11-14
0.225,2011-07-13,2011-08-17,Regular Cash,2011-09-12,Quarter,2011-08-19
0.175,2011-04-11,2011-05-18,Regular Cash,2011-06-11,Quarter,2011-05-20
0.175,2011-01-13,2011-02-16,Regular Cash,2011-03-12,Quarter,2011-02-18
0.175,2010-10-13,2010-11-10,Regular Cash,2010-12-11,Quarter,2010-11-15
0.175,2010-07-14,2010-08-17,Regular Cash,2010-09-11,Quarter,2010-08-19
0.1375,2010-04-12,2010-05-18,Regular Cash,2010-06-12,Quarter,2010-05-20
0.1375,2010-01-15,2010-02-16,Regular Cash,2010-03-12,Quarter,2010-02-18
