Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.53,2017-11-16,2017-12-28,Regular Cash,2018-01-16,Quarter,2017-12-31
0.53,2017-09-19,2017-09-28,Regular Cash,2017-10-16,Quarter,2017-09-30
0.53,2017-05-17,2017-06-28,Regular Cash,2017-07-17,Quarter,2017-06-30
0.53,2017-02-09,2017-03-29,Regular Cash,2017-04-17,Quarter,2017-03-31
0.48,2016-10-20,2016-12-28,Regular Cash,2017-01-17,Quarter,2016-12-31
0.48,2016-07-22,2016-09-28,Regular Cash,2016-10-17,Quarter,2016-09-30
0.48,2016-04-22,2016-06-28,Regular Cash,2016-07-15,Quarter,2016-06-30
0.48,2016-02-05,2016-03-29,Regular Cash,2016-04-15,Quarter,2016-03-31
0.377501,2015-06-30,2016-01-05,Stock Split,,None,
0.82119,2015-10-27,2015-11-16,Regular Cash,2015-12-02,Quarter,2015-11-18
0.82119,2015-07-28,2015-09-28,Regular Cash,2015-10-15,Quarter,2015-09-30
0.82119,2015-04-28,2015-06-26,Regular Cash,2015-07-15,Quarter,2015-06-30
0.82119,2015-02-10,2015-03-27,Regular Cash,2015-04-15,Quarter,2015-03-31
0.7947,2014-10-28,2014-12-29,Regular Cash,2015-01-15,Quarter,2014-12-31
0.7947,2014-07-29,2014-09-26,Regular Cash,2014-10-15,Quarter,2014-09-30
0.7947,2014-04-29,2014-06-26,Regular Cash,2014-07-15,Quarter,2014-06-30
0.7947,2014-02-11,2014-03-27,Regular Cash,2014-04-15,Quarter,2014-03-31
0.74172,2013-10-29,2013-12-27,Regular Cash,2014-01-15,Quarter,2013-12-31
0.74172,2013-07-24,2013-09-26,Regular Cash,2013-10-15,Quarter,2013-09-30
0.74172,2013-04-30,2013-06-26,Regular Cash,2013-07-15,Quarter,2013-06-28
0.74172,2013-02-12,2013-03-26,Regular Cash,2013-04-15,Quarter,2013-03-28
0.71523,2012-10-23,2012-12-27,Regular Cash,2013-01-15,Quarter,2012-12-31
0.71523,2012-08-01,2012-09-26,Regular Cash,2012-10-15,Quarter,2012-09-28
0.71523,2012-04-26,2012-06-27,Regular Cash,2012-07-13,Quarter,2012-06-30
0.71523,2012-02-14,2012-03-28,Regular Cash,2012-04-13,Quarter,2012-03-31
0.68874,2011-10-24,2011-12-28,Regular Cash,2012-01-13,Quarter,2011-12-30
0.68874,2011-08-03,2011-09-28,Regular Cash,2011-10-14,Quarter,2011-09-30
0.68874,2011-05-04,2011-06-28,Regular Cash,2011-07-15,Quarter,2011-06-30
0.68874,2011-02-09,2011-03-29,Regular Cash,2011-04-15,Quarter,2011-03-31
0.68874,2010-10-27,2010-12-29,Regular Cash,2011-01-14,Quarter,2010-12-31
0.68874,2010-07-28,2010-09-28,Regular Cash,2010-10-15,Quarter,2010-09-30
0.68874,2010-04-28,2010-06-28,Regular Cash,2010-07-16,Quarter,2010-06-30
0.68874,2010-02-03,2010-03-29,Regular Cash,2010-04-16,Quarter,2010-03-31
