Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.32,2017-11-09,2017-11-30,Regular Cash,2017-12-15,Quarter,2017-12-01
0.31,2017-08-24,2017-09-07,Regular Cash,2017-09-22,Quarter,2017-09-08
0.31,2017-05-18,2017-06-07,Regular Cash,2017-06-23,Quarter,2017-06-09
0.31,2017-02-10,2017-03-01,Regular Cash,2017-03-17,Quarter,2017-03-03
0.31,2016-10-14,2016-10-26,Regular Cash,2016-11-18,Quarter,2016-10-28
0.31,2016-08-19,2016-09-07,Regular Cash,2016-09-23,Quarter,2016-09-09
0.31,2016-05-20,2016-06-08,Regular Cash,2016-06-24,Quarter,2016-06-10
0.31,2016-02-10,2016-03-04,Regular Cash,2016-03-18,Quarter,2016-03-08
0.31,2015-10-14,2015-10-28,Regular Cash,2015-11-20,Quarter,2015-10-30
0.31,2015-08-27,2015-09-09,Regular Cash,2015-09-25,Quarter,2015-09-11
0.29,2015-05-22,2015-06-03,Regular Cash,2015-06-19,Quarter,2015-06-05
0.29,2015-02-13,2015-02-25,Regular Cash,2015-03-13,Quarter,2015-02-27
0.29,2014-10-15,2014-10-29,Regular Cash,2014-11-26,Quarter,2014-10-31
0.29,2014-08-13,2014-08-27,Regular Cash,2014-09-12,Quarter,2014-08-29
1.7003,2013-11-04,2014-07-03,Split-Off,,None,
0.22,2014-04-10,2014-05-07,Regular Cash,2014-05-30,Quarter,2014-05-09
0.22,2014-02-13,2014-02-26,Regular Cash,2014-03-14,Quarter,2014-02-28
0.22,2013-10-09,2013-10-30,Regular Cash,2013-11-27,Quarter,2013-11-01
0.22,2013-06-16,2013-08-28,Regular Cash,2013-09-13,Quarter,2013-08-30
0.2,2013-04-11,2013-05-08,Regular Cash,2013-05-31,Quarter,2013-05-10
0.17,2013-02-14,2013-02-27,Regular Cash,2013-03-15,Quarter,2013-03-01
0.17,2012-10-11,2012-11-07,Regular Cash,2012-11-30,Quarter,2012-11-09
0.15,2012-08-09,2012-08-28,Regular Cash,2012-09-14,Quarter,2012-08-30
0.15,2012-04-12,2012-05-09,Regular Cash,2012-06-01,Quarter,2012-05-11
0.15,2012-02-09,2012-02-28,Regular Cash,2012-03-15,Quarter,2012-03-01
0.15,2011-10-13,2011-11-08,Regular Cash,2011-12-01,Quarter,2011-11-11
0.15,2011-08-11,2011-08-30,Regular Cash,2011-09-15,Quarter,2011-09-01
0.15,2011-04-14,2011-05-11,Regular Cash,2011-06-01,Quarter,2011-05-13
0.15,2011-02-10,2011-02-25,Regular Cash,2011-03-15,Quarter,2011-03-01
0.05,2010-10-15,2010-11-03,Regular Cash,2010-12-01,Quarter,2010-11-05
1.650503,2010-07-12,2010-07-20,Special Cash,2010-09-01,None,2010-07-22
1.443408,2010-07-12,2010-07-20,Stock Dividend,2010-09-01,None,2010-07-22
0.020463,2010-04-15,2010-04-28,Regular Cash,2010-06-01,Quarter,2010-04-30
0.020463,2010-01-04,2010-01-27,Regular Cash,2010-03-01,Quarter,2010-01-29
