Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.58,2017-11-07,2017-11-24,Regular Cash,2017-12-11,Quarter,2017-11-27
0.58,2017-08-02,2017-08-23,Regular Cash,2017-09-08,Quarter,2017-08-25
0.58,2017-05-09,2017-05-24,Regular Cash,2017-06-09,Quarter,2017-05-26
0.58,2017-02-28,2017-03-15,Regular Cash,2017-03-30,Quarter,2017-03-17
0.5,2016-11-08,2016-11-23,Regular Cash,2016-12-12,Quarter,2016-11-28
0.5,2016-08-11,2016-08-24,Regular Cash,2016-09-09,Quarter,2016-08-26
0.5,2016-05-10,2016-05-25,Regular Cash,2016-06-10,Quarter,2016-05-27
0.5,2016-02-25,2016-03-09,Regular Cash,2016-03-24,Quarter,2016-03-11
0.42,2015-11-12,2015-11-25,Regular Cash,2015-12-15,Quarter,2015-11-30
0.42,2015-08-13,2015-08-26,Regular Cash,2015-09-14,Quarter,2015-08-28
0.42,2015-05-14,2015-05-27,Regular Cash,2015-06-12,Quarter,2015-05-29
0.42,2015-02-10,2015-03-11,Regular Cash,2015-03-27,Quarter,2015-03-13
0.35,2014-11-13,2014-11-26,Regular Cash,2014-12-16,Quarter,2014-12-01
0.35,2014-08-07,2014-08-19,Regular Cash,2014-09-05,Quarter,2014-08-21
0.35,2014-05-15,2014-05-28,Regular Cash,2014-06-13,Quarter,2014-05-30
0.35,2014-02-07,2014-03-12,Regular Cash,2014-03-28,Quarter,2014-03-14
0.29,2013-11-07,2013-11-22,Regular Cash,2013-12-06,Quarter,2013-11-26
0.29,2013-08-08,2013-08-20,Regular Cash,2013-09-06,Quarter,2013-08-22
0.29,2013-05-14,2013-05-23,Regular Cash,2013-06-07,Quarter,2013-05-28
0.29,2013-02-06,2013-03-12,Regular Cash,2013-03-29,Quarter,2013-03-14
0.23,2012-11-08,2012-11-19,Regular Cash,2012-12-07,Quarter,2012-11-21
0.23,2012-08-09,2012-08-21,Regular Cash,2012-09-07,Quarter,2012-08-23
0.23,2012-05-10,2012-05-22,Regular Cash,2012-06-08,Quarter,2012-05-24
0.23,2012-02-08,2012-03-13,Regular Cash,2012-03-30,Quarter,2012-03-15
0.15,2011-11-10,2011-11-21,Regular Cash,2011-12-09,Quarter,2011-11-23
0.15,2011-08-11,2011-08-23,Regular Cash,2011-09-09,Quarter,2011-08-25
0.15,2011-05-12,2011-05-24,Regular Cash,2011-06-10,Quarter,2011-05-26
0.15,2011-02-09,2011-03-08,Regular Cash,2011-03-25,Quarter,2011-03-10
0.12,2010-10-21,2010-11-22,Regular Cash,2010-12-10,Quarter,2010-11-24
0.12,2010-07-22,2010-08-24,Regular Cash,2010-09-10,Quarter,2010-08-26
0.12,2010-05-13,2010-05-25,Regular Cash,2010-06-11,Quarter,2010-05-27
0.12,2010-02-10,2010-03-04,Regular Cash,2010-03-15,Quarter,2010-03-08
