Dividend Amount,Declared Date,Ex-Date,Dividend Type,Payable Date,Dividend Frequency,Record Date
0.0875,2017-12-12,2017-12-28,Regular Cash,2018-01-12,Quarter,2017-12-29
0.0875,2017-06-28,2017-09-28,Regular Cash,2017-10-13,Quarter,2017-09-29
0.0875,2017-06-22,2017-06-28,Regular Cash,2017-07-14,Quarter,2017-06-30
0.0875,2017-02-17,2017-03-29,Regular Cash,2017-04-13,Quarter,2017-03-31
0.0775,2016-12-15,2016-12-28,Regular Cash,2017-01-13,Quarter,2016-12-30
0.0775,2016-09-22,2016-09-28,Regular Cash,2016-10-14,Quarter,2016-09-30
0.0775,2016-04-08,2016-06-22,Regular Cash,2016-07-08,Quarter,2016-06-24
0.0775,2016-03-02,2016-03-22,Regular Cash,2016-04-08,Quarter,2016-03-25
0.0725,2015-10-01,2015-12-22,Regular Cash,2016-01-08,Quarter,2015-12-25
0.0725,2015-07-29,2015-09-23,Regular Cash,2015-10-09,Quarter,2015-09-25
0.0725,2015-05-20,2015-06-24,Regular Cash,2015-07-10,Quarter,2015-06-26
0.0725,2015-02-24,2015-03-25,Regular Cash,2015-04-10,Quarter,2015-03-27
0.06625,2014-09-25,2014-12-23,Regular Cash,2015-01-09,Quarter,2014-12-26
0.06625,2014-08-01,2014-09-24,Regular Cash,2014-10-10,Quarter,2014-09-26
0.06625,2014-05-22,2014-06-25,Regular Cash,2014-07-11,Quarter,2014-06-27
0.06625,2014-02-18,2014-03-26,Regular Cash,2014-04-11,Quarter,2014-03-28
0.0625,2013-09-27,2013-12-24,Regular Cash,2014-01-10,Quarter,2013-12-27
0.0625,2013-08-01,2013-09-25,Regular Cash,2013-10-11,Quarter,2013-09-27
0.0625,2013-05-23,2013-06-26,Regular Cash,2013-07-12,Quarter,2013-06-28
0.0625,2013-02-26,2013-03-26,Regular Cash,2013-04-12,Quarter,2013-03-29
0.055,2012-09-27,2012-12-26,Regular Cash,2013-01-11,Quarter,2012-12-28
0.055,2012-07-25,2012-09-26,Regular Cash,2012-10-12,Quarter,2012-09-28
0.055,2012-05-23,2012-06-27,Regular Cash,2012-07-13,Quarter,2012-06-29
0.055,2012-02-16,2012-03-28,Regular Cash,2012-04-13,Quarter,2012-03-30
0.055,2011-11-30,2011-12-28,Regular Cash,2012-01-10,Quarter,2011-12-30
0.05,2011-07-27,2011-09-23,Regular Cash,2011-10-06,Quarter,2011-09-27
0.05,2011-05-26,2011-06-28,Regular Cash,2011-07-08,Quarter,2011-06-30
0.05,2011-02-11,2011-03-29,Regular Cash,2011-04-08,Quarter,2011-03-31
0.05,2010-09-30,2010-12-27,Regular Cash,2011-01-07,Quarter,2010-12-29
0.05,2010-07-28,2010-09-27,Regular Cash,2010-10-07,Quarter,2010-09-29
0.05,2010-05-11,2010-06-23,Regular Cash,2010-07-08,Quarter,2010-06-25
0.05,2010-02-10,2010-03-24,Regular Cash,2010-04-06,Quarter,2010-03-26
