Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.25,2017:Q4,2018-01-30,1.0084,06:30,1.172
2.45,2017:Q3,2017-10-31,2.7971,06:00,2.083
3.42,2017:Q2,2017-08-03,3.3097,06:00,2.344
2.71,2017:Q1,2017-05-02,2.6188,06:00,2.347
1.63,2016:Q4,2017-01-31,1.7914,06:00,1.436
2.07,2016:Q3,2016-10-27,1.9497,06:00,2.032
2.21,2016:Q2,2016-08-02,2.0962,06:00,2.118
2.3,2016:Q1,2016-04-28,2.2033,06:00,2.232
1.37,2015:Q4,2016-02-01,1.246,06:00,1.211
1.9,2015:Q3,2015-10-29,1.773,06:00,1.767
2.05,2015:Q2,2015-08-04,1.9349,06:00,1.821
2.39,2015:Q1,2015-04-28,2.2729,06:00,1.948
1.22,2014:Q4,2015-02-03,1.1102,06:00,1.225
1.79,2014:Q3,2014-10-28,1.6851,06:00,1.576
1.69,2014:Q2,2014-07-29,1.578,06:00,1.604
1.98,2014:Q1,2014-04-24,1.8641,06:00,1.552
1.34,2013:Q4,2014-02-06,1.3416,06:00,1.359
1.5,2013:Q3,2013-10-29,1.4493,06:00,1.531
1.52,2013:Q2,2013-07-30,1.6813,06:00,1.403
1.5,2013:Q1,2013-04-30,1.496,06:00,1.377
0.94,2012:Q4,2013-01-31,0.9349,06:00,0.94
1.55,2012:Q3,2012-10-25,1.5409,06:00,1.335
1.31,2012:Q2,2012-07-31,1.3038,06:00,1.247
1.34,2012:Q1,2012-04-26,1.3358,06:00,1.401
0.97,2011:Q4,2012-02-01,0.97,06:00,0.966
1.4,2011:Q3,2011-10-27,1.4008,06:00,1.145
1.35,2011:Q2,2011-07-27,1.3541,06:00,1.078
1.43,2011:Q1,2011-04-28,1.434,06:00,0.976
0.63,2010:Q4,2011-02-04,0.6277,06:00,0.621
1.0,2010:Q3,2010-11-03,1.0038,06:00,0.673
1.05,2010:Q2,2010-07-27,1.0452,20:10,0.728
0.98,2010:Q1,2010-04-29,0.9797,06:00,0.724
0.4,2009:Q4,2010-02-05,0.4088,06:00,0.424
