Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
-0.06,2017:Q4,2018-01-30,-0.0531,08:30,-0.138
0.0232,2017:Q3,2017-10-31,-0.0186,08:30,0.031
0.209,2017:Q2,2017-07-25,0.2071,08:30,0.125
0.192,2017:Q1,2017-04-25,0.26,08:30,0.143
0.14,2016:Q4,2017-01-24,0.2583,08:30,0.09
0.21,2016:Q3,2016-10-25,0.21,08:30,0.135
0.08,2016:Q2,2016-07-26,0.08,08:30,-0.019
-0.08,2016:Q1,2016-04-26,-0.08,08:30,-0.11
0.3,2015:Q4,2016-01-26,0.313,08:30,0.069
0.04,2015:Q3,2015-10-27,0.04,08:30,-0.045
-0.36,2015:Q2,2015-07-28,-0.36,08:30,-0.391
-0.28,2015:Q1,2015-04-28,-0.2825,08:30,-0.241
0.14,2014:Q4,2015-01-27,0.1395,08:30,0.077
0.12,2014:Q3,2014-11-04,-0.05,08:30,0.085
0.02,2014:Q2,2014-07-29,-0.13,08:30,-0.034
-0.4,2014:Q1,2014-04-22,-0.5467,08:30,-0.428
0.09,2013:Q4,2014-01-28,0.26,08:30,0.048
-0.12,2013:Q3,2013-10-22,-0.1207,08:30,-0.206
-0.15,2013:Q2,2013-07-23,-0.3,08:30,-0.32
-0.07,2013:Q1,2013-04-23,-0.07,08:30,-0.118
-0.3,2012:Q4,2013-01-29,-0.3017,08:30,-0.346
-0.25,2012:Q3,2012-10-23,-0.2523,08:30,-0.366
0.1,2012:Q2,2012-07-24,0.1034,08:30,0.052
-0.11,2012:Q1,2012-04-24,-0.11,08:30,-0.116
-0.26,2011:Q4,2012-01-24,-0.255,08:30,-0.392
0.02,2011:Q3,2011-10-25,0.0246,08:30,-0.005
0.32,2011:Q2,2011-07-26,0.3181,08:30,0.498
0.08,2011:Q1,2011-04-26,0.08,08:30,-0.008
-0.49,2010:Q4,2011-01-25,-0.4973,08:30,-0.622
-0.54,2010:Q3,2010-10-26,-0.54,08:30,-0.384
0.34,2010:Q2,2010-07-27,0.1426,08:30,0.066
0.25,2010:Q1,2010-04-20,0.2484,08:30,0.242
0.41,2009:Q4,2010-01-25,0.4067,08:30,0.201
