Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.08,2017:Q3,2017-11-08,1.075,17:05,1.068
1.13,2017:Q2,2017-08-07,1.1368,17:05,1.103
1.05,2017:Q1,2017-05-03,1.0555,17:05,0.956
0.78,2016:Q4,2017-02-27,0.7494,17:05,0.729
0.91,2016:Q3,2016-11-07,0.9093,17:34,0.823
1.09,2016:Q2,2016-08-03,0.9054,17:05,1.005
1.12,2016:Q1,2016-05-10,0.9484,16:30,0.855
1.03,2015:Q4,2016-02-17,1.7189,17:26,0.828
0.9,2015:Q3,2015-11-04,0.6777,17:39,0.878
0.84,2015:Q2,2015-08-05,0.4911,17:16,0.819
0.81,2015:Q1,2015-05-06,0.7989,18:09,0.685
0.99,2014:Q4,2015-01-28,-0.0477,17:12,1.02
1.14,2014:Q3,2014-10-22,1.0952,17:03,1.013
1.1,2014:Q2,2014-07-30,1.1072,16:15,1.097
0.96,2014:Q1,2014-04-16,0.9827,17:13,0.949
1.08,2013:Q4,2014-01-28,2.1889,16:11,1.045
1.09,2013:Q3,2013-10-16,1.1,16:03,1.072
0.97,2013:Q2,2013-07-17,0.95,16:38,0.978
0.93,2013:Q1,2013-04-17,0.94,16:03,0.998
1.17,2012:Q4,2013-01-22,0.5743,16:03,0.988
1.1,2012:Q3,2012-10-17,1.1699,16:03,1.08
1.24,2012:Q2,2012-07-17,1.3773,16:05,1.223
1.2,2012:Q1,2012-04-18,1.2133,16:05,1.156
1.11,2011:Q4,2012-01-23,0.5107,16:11,1.098
1.28,2011:Q3,2011-10-24,1.2857,16:05,1.183
1.23,2011:Q2,2011-07-21,1.23,16:05,1.123
1.15,2011:Q1,2011-04-19,1.157,16:05,0.961
0.92,2010:Q4,2011-01-24,0.92,16:05,0.875
1.02,2010:Q3,2010-10-21,1.02,16:05,0.847
0.89,2010:Q2,2010-07-26,0.94,16:05,0.759
0.74,2010:Q1,2010-04-26,0.7399,16:03,0.633
0.64,2009:Q4,2010-01-25,0.6399,20:38,0.575
