Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.19,2017:Q4,2018-01-30,1.1879,16:00,0.958
1.0094,2017:Q3,2017-10-26,1.01,16:00,0.815
0.85,2017:Q2,2017-07-27,0.85,16:00,0.728
0.85,2017:Q1,2017-04-27,0.85,16:00,0.667
0.59,2016:Q4,2017-01-31,0.59,16:00,0.663
0.63,2016:Q3,2016-11-07,0.63,16:00,0.518
0.62,2016:Q2,2016-07-28,0.62,16:00,0.485
0.5,2016:Q1,2016-04-28,0.5,16:00,0.397
0.6,2015:Q4,2016-01-28,0.6,16:00,0.521
0.34,2015:Q3,2015-10-22,0.34,16:00,0.313
0.39,2015:Q2,2015-07-23,0.39,16:00,0.373
0.38,2015:Q1,2015-04-23,0.44,16:00,0.315
0.48,2014:Q4,2015-01-29,0.48,16:00,0.488
0.47,2014:Q3,2014-10-23,0.47,16:00,0.431
0.43,2014:Q2,2014-07-24,0.43,16:01,0.386
0.39,2014:Q1,2014-04-23,0.39,16:00,0.344
0.51,2013:Q4,2014-01-30,0.51,16:00,0.429
0.4,2013:Q3,2013-10-17,0.42,16:00,0.301
0.36,2013:Q2,2013-07-18,0.36,16:00,0.276
0.26,2013:Q1,2013-04-18,0.1914,16:00,0.227
0.27,2012:Q4,2013-01-30,0.2637,16:00,0.223
0.28,2012:Q3,2012-10-17,0.3017,16:27,0.289
0.34,2012:Q2,2012-07-19,0.3441,16:00,0.281
0.27,2012:Q1,2012-04-23,0.2692,16:00,0.215
0.28,2011:Q4,2012-01-30,0.2659,16:00,0.221
0.27,2011:Q3,2011-10-27,0.2541,16:02,0.192
0.2,2011:Q2,2011-08-01,0.1878,16:00,0.19
0.21,2011:Q1,2011-04-20,0.2139,16:00,0.166
0.14,2010:Q4,2011-01-26,0.1435,16:00,0.164
0.25,2010:Q3,2010-10-21,0.2523,16:00,0.186
0.21,2010:Q2,2010-07-22,0.3474,16:00,0.137
0.2,2010:Q1,2010-04-22,0.19,07:01,0.13
0.16,2009:Q4,2010-01-27,0.15,16:00,0.093
