Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.7,2017:Q4,2018-02-01,0.7053,06:55,0.669
0.6611,2017:Q3,2017-11-02,0.66,06:55,0.62
0.6498,2017:Q2,2017-08-02,0.65,06:55,0.623
0.6,2017:Q1,2017-05-02,0.6,06:55,0.565
0.58,2016:Q4,2017-02-07,0.5806,06:45,0.582
0.56,2016:Q3,2016-11-01,0.56,06:45,0.551
0.5886,2016:Q2,2016-08-04,0.59,07:01,0.589
0.57,2016:Q1,2016-04-28,0.57,07:00,0.572
0.63,2015:Q4,2016-02-05,0.6281,06:45,0.633
0.65,2015:Q3,2015-10-27,0.65,06:45,0.648
0.64,2015:Q2,2015-08-04,0.64,07:00,0.636
0.63,2015:Q1,2015-04-29,0.6345,07:00,0.627
0.63,2014:Q4,2015-01-28,0.6329,07:00,0.615
0.62,2014:Q3,2014-10-28,0.6132,07:00,0.609
0.61,2014:Q2,2014-08-05,0.61,07:00,0.589
0.57,2014:Q1,2014-05-06,0.57,07:00,0.563
0.55,2013:Q4,2014-01-29,0.55,07:00,0.543
0.52,2013:Q3,2013-10-29,0.4893,07:00,0.52
0.52,2013:Q2,2013-08-07,0.52,07:00,0.518
0.52,2013:Q1,2013-04-25,0.51,07:00,0.51
0.49,2012:Q4,2013-01-24,0.49,07:00,0.479
0.47,2012:Q3,2012-10-23,0.47,07:00,0.461
0.4667,2012:Q2,2012-07-24,0.47,07:00,0.456
0.4533,2012:Q1,2012-04-26,0.45,07:00,0.436
0.42,2011:Q4,2012-01-26,0.42,07:01,0.41
0.4,2011:Q3,2011-10-25,0.4,07:00,0.393
0.3867,2011:Q2,2011-07-26,0.39,07:00,0.374
0.3733,2011:Q1,2011-04-28,0.3733,07:00,0.367
0.3333,2010:Q4,2011-01-27,0.5,07:00,0.316
0.32,2010:Q3,2010-10-26,0.32,07:00,0.288
0.28,2010:Q2,2010-07-27,0.28,07:00,0.272
0.24,2010:Q1,2010-04-27,0.24,07:00,0.232
0.2133,2009:Q4,2010-01-26,0.2133,07:00,0.208
