Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.7221,2017:Q3,2017-10-31,0.7228,07:00,0.773
0.8002,2017:Q2,2017-07-27,0.7994,07:00,0.742
0.8013,2017:Q1,2017-04-27,0.0874,07:00,0.66
0.4701,2016:Q4,2017-02-27,0.4692,07:00,0.587
0.55,2016:Q3,2016-10-27,0.55,07:00,0.551
0.3728,2016:Q2,2016-07-28,0.3719,07:00,0.548
0.6431,2016:Q1,2016-04-29,0.58,07:00,0.514
0.4832,2015:Q4,2016-02-26,0.4819,07:00,0.497
0.18,2015:Q3,2015-10-29,0.1828,07:00,0.378
0.4758,2015:Q2,2015-07-29,0.4758,07:00,0.479
0.4573,2015:Q1,2015-04-30,0.4591,07:00,0.526
0.43,2014:Q4,2015-02-23,0.4323,16:30,0.506
0.51,2014:Q3,2014-10-30,0.4926,07:00,0.557
0.58,2014:Q2,2014-07-30,0.5832,07:00,0.528
0.51,2014:Q1,2014-05-01,0.5106,07:00,0.495
0.25,2013:Q4,2014-02-25,0.2518,07:00,0.468
0.45,2013:Q3,2013-10-30,0.45,07:00,0.526
0.26,2013:Q2,2013-07-31,0.2567,07:00,0.514
0.43,2013:Q1,2013-05-01,0.5183,07:00,0.481
0.34,2012:Q4,2013-02-26,0.34,07:00,0.409
0.58,2012:Q3,2012-10-31,0.58,07:00,0.423
0.12,2012:Q2,2012-08-01,0.12,07:00,0.417
0.55,2012:Q1,2012-05-03,0.561,07:00,0.413
0.51,2011:Q4,2012-02-23,0.52,07:00,-2.4245362661989844e-14
-2.4245362661989844e-14,2011:Q3,2011-11-01,-0.04,07:00,-2.4245362661989844e-14
-2.4245362661989844e-14,2011:Q2,2011-08-02,0.29,07:00,-2.4245362661989844e-14
-2.4245362661989844e-14,2011:Q1,2011-05-03,0.23,07:00,-2.4245362661989844e-14
-2.4245362661989844e-14,2010:Q4,2011-02-23,-2.4245362661989844e-14,07:00,-2.4245362661989844e-14
-2.4245362661989844e-14,2010:Q3,2010-11-05,-2.4245362661989844e-14,07:00,-2.4245362661989844e-14
-2.4245362661989844e-14,2010:Q2,2010-08-03,-2.4245362661989844e-14,07:00,-2.4245362661989844e-14
-2.4245362661989844e-14,2010:Q1,2010-05-04,-2.4245362661989844e-14,07:00,-2.4245362661989844e-14
-2.4245362661989844e-14,2009:Q4,2010-02-24,-2.4245362661989844e-14,07:00,-2.4245362661989844e-14
