Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.3,2018:Q3,2017-11-17,0.2993,07:30,0.224
-0.16,2018:Q2,2017-08-24,-0.1639,07:30,-0.331
-0.7594,2018:Q1,2017-05-25,-0.7664,07:30,-0.704
0.71,2017:Q4,2017-03-02,0.7433,07:30,0.745
0.02,2017:Q3,2016-11-18,0.0262,07:30,0.202
-0.25,2017:Q2,2016-08-30,-0.2469,07:30,-0.199
-0.59,2017:Q1,2016-05-26,-0.5776,07:30,-0.507
1.08,2016:Q4,2016-03-02,0.9165,07:30,0.989
0.48,2016:Q3,2015-11-20,0.3346,07:30,0.22
0.12,2016:Q2,2015-08-26,0.1523,07:30,-0.041
-0.53,2016:Q1,2015-05-28,-0.7988,07:30,-0.348
1.15,2015:Q4,2015-03-04,1.139,07:31,1.145
0.42,2015:Q3,2014-12-03,0.4097,07:00,0.42
0.19,2015:Q2,2014-08-28,0.1818,07:30,0.111
-0.17,2015:Q1,2014-05-29,-0.1988,07:30,-0.189
1.34,2014:Q4,2014-02-26,1.3911,07:30,1.043
0.52,2014:Q3,2013-11-21,0.546,07:00,0.444
0.16,2014:Q2,2013-08-22,0.1358,07:01,0.291
-0.09,2014:Q1,2013-05-24,-0.0852,07:00,-0.051
2.21,2013:Q4,2013-02-22,1.9911,06:30,1.958
0.87,2013:Q3,2012-11-14,1.0387,07:00,0.596
0.19,2013:Q2,2012-08-15,0.2051,07:00,0.165
0.03,2013:Q1,2012-05-16,-0.2436,07:01,0.014
1.12,2012:Q4,2012-02-15,1.287,07:00,1.122
0.57,2012:Q3,2011-11-16,0.5649,07:00,0.715
0.35,2012:Q2,2011-08-17,0.345,07:00,0.295
0.27,2012:Q1,2011-05-18,0.265,07:00,0.125
1.38,2011:Q4,2011-02-16,1.03,07:00,1.323
0.56,2011:Q3,2010-11-16,0.56,07:04,0.506
0.24,2011:Q2,2010-08-17,0.2102,07:00,0.156
-0.13,2011:Q1,2010-05-18,-0.1316,07:00,-0.134
0.9148,2010:Q4,2010-02-16,0.9042,07:00,0.869
