Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
-1.408,2015:Q2,2015-08-03,-1.4172,Bef-mkt,-0.715
-0.79,2015:Q1,2015-04-30,-0.6965,07:25,-0.756
-0.5,2014:Q4,2015-02-12,-0.6395,07:30,-0.741
-0.53,2014:Q3,2014-10-30,-0.7929,08:05,-0.713
-0.56,2014:Q2,2014-08-06,-1.396,07:00,-0.742
0.07,2014:Q1,2014-05-01,-0.9186,07:00,-0.57
-0.52,2013:Q4,2014-02-12,-1.4616,07:00,-0.626
-0.61,2013:Q3,2013-10-31,-0.5854,07:00,-0.751
-0.59,2013:Q2,2013-08-02,-0.5581,07:00,-0.583
-0.47,2013:Q1,2013-05-02,-0.4666,07:00,-0.566
-0.19,2012:Q4,2013-02-14,0.897,07:01,-0.491
-0.16,2012:Q3,2012-11-02,-0.1244,07:00,-0.451
-0.33,2012:Q2,2012-08-08,-0.3298,07:00,-0.314
-0.27,2012:Q1,2012-05-03,0.1659,07:00,-0.06
-0.07,2011:Q4,2012-02-24,0.1393,07:00,0.263
0.35,2011:Q3,2011-11-03,0.6165,07:00,0.044
0.96,2011:Q2,2011-08-04,0.9453,07:01,1.149
0.65,2011:Q1,2011-05-03,0.5193,07:00,0.924
0.27,2010:Q4,2011-02-09,0.137,07:00,0.261
0.58,2010:Q3,2010-11-03,0.312,07:00,0.774
0.62,2010:Q2,2010-08-04,0.2904,07:00,0.684
0.69,2010:Q1,2010-05-05,0.1378,07:00,0.545
0.51,2009:Q4,2010-02-09,0.3901,07:00,0.45
