Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.05,2017:Q3,2017-11-01,0.8554,16:39,0.969
0.99,2017:Q2,2017-08-02,0.8144,16:39,0.914
0.89,2017:Q1,2017-05-03,0.7777,17:09,0.835
0.98,2016:Q4,2017-02-22,0.8266,17:29,0.963
0.95,2016:Q3,2016-11-03,0.7815,07:09,0.92
0.93,2016:Q2,2016-08-04,0.78,07:09,0.881
0.77,2016:Q1,2016-05-05,0.6307,07:09,0.763
0.91,2015:Q4,2016-02-25,0.7555,07:10,0.871
0.9,2015:Q3,2015-11-05,0.7248,07:09,0.872
0.85,2015:Q2,2015-08-05,0.6849,07:09,0.818
0.77,2015:Q1,2015-05-06,0.6163,07:09,0.767
0.92,2014:Q4,2015-02-26,0.7498,07:09,0.811
0.89,2014:Q3,2014-11-05,0.7106,07:07,0.823
0.86,2014:Q2,2014-08-05,0.6741,07:09,0.796
0.76,2014:Q1,2014-05-01,0.6021,07:09,0.755
0.96,2013:Q4,2014-02-27,0.8021,07:09,0.86
0.83,2013:Q3,2013-11-07,0.6614,07:09,0.749
0.77,2013:Q2,2013-08-01,0.5907,07:09,0.714
0.71,2013:Q1,2013-05-02,0.5414,07:19,0.694
0.79,2012:Q4,2013-02-28,0.5903,07:09,0.736
0.74,2012:Q3,2012-11-01,0.5413,07:19,0.687
0.72,2012:Q2,2012-08-02,0.5346,07:09,0.661
0.66,2012:Q1,2012-05-03,0.48,07:09,0.66
0.68,2011:Q4,2012-02-23,0.5001,07:09,0.703
0.66,2011:Q3,2011-11-03,0.4813,07:09,0.619
0.62,2011:Q2,2011-08-04,0.4931,07:09,0.563
0.57,2011:Q1,2011-05-05,0.45,07:03,0.551
0.65,2010:Q4,2011-02-24,0.4976,07:03,0.582
0.51,2010:Q3,2010-11-04,0.3963,07:07,0.478
0.5,2010:Q2,2010-08-05,0.38,07:09,0.468
0.47,2010:Q1,2010-05-06,0.35,07:09,0.425
0.53,2009:Q4,2010-02-25,0.4161,07:03,0.486
