Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.0977,2017:Q4,2018-01-31,1.0988,16:18,1.214
1.5229,2017:Q3,2017-10-30,-0.198,16:15,1.15
1.0517,2017:Q2,2017-08-02,1.0559,16:17,1.1
1.1612,2017:Q1,2017-04-26,1.1618,16:15,1.061
1.1453,2016:Q4,2017-02-01,1.1439,16:17,1.271
1.0432,2016:Q3,2016-10-24,1.0414,16:16,1.179
1.4274,2016:Q2,2016-07-25,1.2188,16:18,1.288
1.73,2016:Q1,2016-04-27,1.3396,16:19,1.319
1.132,2015:Q4,2016-02-03,1.0619,16:17,1.085
1.4066,2015:Q3,2015-10-26,1.1325,16:17,1.239
1.1032,2015:Q2,2015-07-27,1.0309,16:02,1.066
1.56,2015:Q1,2015-04-27,1.0706,16:18,1.086
0.79,2014:Q4,2015-01-28,1.08,16:19,0.983
1.83,2014:Q3,2014-10-27,1.83,16:04,1.19
1.22,2014:Q2,2014-07-23,0.7452,16:05,0.858
1.09,2014:Q1,2014-04-23,0.8,16:11,0.817
1.98,2013:Q4,2014-01-29,0.7977,17:26,0.72
0.83,2013:Q3,2013-10-23,-0.12,16:03,0.34
0.29,2013:Q2,2013-07-24,-0.4683,17:27,0.635
0.62,2013:Q1,2013-04-30,-0.12,16:10,0.233
1.18,2012:Q4,2013-01-30,0.6424,17:10,0.72
0.74,2012:Q3,2012-10-24,0.85,16:01,0.778
1.63,2012:Q2,2012-07-25,0.6,16:01,0.653
0.6,2012:Q1,2012-04-25,0.5723,16:01,0.373
3.48,2011:Q4,2012-02-01,0.5243,16:01,0.548
0.67,2011:Q3,2011-10-31,0.6384,16:01,0.484
0.503,2011:Q2,2011-07-27,0.313,16:01,0.512
0.35,2011:Q1,2011-04-27,0.36,16:04,0.406
0.31,2010:Q4,2011-02-02,0.3046,16:36,0.302
0.29,2010:Q3,2010-10-27,0.32,16:03,0.308
0.64,2010:Q2,2010-08-03,0.0849,17:10,0.466
0.86,2010:Q1,2010-04-28,-0.3695,16:11,0.343
0.75,2009:Q4,2010-02-03,0.195,16:57,0.207
