Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.03,2017:Q3,2017-11-02,0.0239,06:45,0.072
-0.03,2017:Q2,2017-08-03,-0.0343,06:45,0.064
-0.07,2017:Q1,2017-05-04,-0.0795,06:45,0.01
0.01,2016:Q4,2017-02-16,0.0127,06:45,0.094
0.02,2016:Q3,2016-11-03,0.0251,06:45,0.038
0.07,2016:Q2,2016-08-02,0.0707,06:45,0.026
-0.07,2016:Q1,2016-05-05,-0.0725,06:45,0.025
0.0,2015:Q4,2016-02-11,0.0385,06:46,0.078
-0.11,2015:Q3,2015-11-04,-1.5602,06:46,0.074
0.11,2015:Q2,2015-07-30,0.0823,07:01,0.079
0.04,2015:Q1,2015-04-30,0.0333,07:01,0.066
0.2,2014:Q4,2015-02-12,0.2105,07:01,0.249
0.23,2014:Q3,2014-10-30,0.237,07:01,0.164
0.2,2014:Q2,2014-07-31,0.1684,07:01,0.213
0.12,2014:Q1,2014-05-01,0.1175,07:01,0.209
0.34,2013:Q4,2014-02-13,0.3451,07:01,0.297
0.14,2013:Q3,2013-10-31,0.1382,07:01,0.188
0.29,2013:Q2,2013-08-01,0.2874,07:01,0.256
0.26,2013:Q1,2013-04-30,0.2569,07:01,0.136
0.37,2012:Q4,2013-02-12,0.3712,07:01,0.269
0.17,2012:Q3,2012-11-01,0.1838,07:01,0.226
0.2,2012:Q2,2012-08-01,0.2083,07:01,0.219
0.1,2012:Q1,2012-05-01,0.1019,07:00,0.281
0.39,2011:Q4,2012-02-14,0.3976,07:01,0.511
0.38,2011:Q3,2011-10-27,0.3874,07:01,0.458
0.49,2011:Q2,2011-07-28,0.4887,07:00,0.495
0.37,2011:Q1,2011-05-03,0.3706,07:00,0.315
0.59,2010:Q4,2011-02-08,0.5897,07:00,0.664
0.41,2010:Q3,2010-10-28,0.4052,07:06,0.47
0.48,2010:Q2,2010-07-29,0.473,07:03,0.441
0.33,2010:Q1,2010-04-30,0.3346,07:03,0.313
0.68,2009:Q4,2010-02-04,0.6785,07:03,0.678
