Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.94,2018:Q1,2018-01-09,1.7046,08:50,2.089
2.55,2017:Q4,2017-10-04,2.3333,08:25,2.435
2.15,2017:Q3,2017-06-29,1.907,08:34,2.038
1.77,2017:Q2,2017-04-04,1.5315,08:34,1.834
2.0,2017:Q1,2017-01-09,1.7814,08:30,2.165
2.21,2016:Q4,2016-10-05,2.045,08:05,2.39
2.06,2016:Q3,2016-06-29,1.8507,08:30,2.029
1.8979,2016:Q2,2016-04-06,1.6135,08:00,1.568
1.77,2016:Q1,2016-01-08,1.6021,08:50,1.578
1.63,2015:Q4,2015-10-07,1.6274,08:35,1.621
1.37,2015:Q3,2015-07-01,1.3655,08:41,1.341
1.08,2015:Q2,2015-04-01,1.0766,08:43,1.054
1.32,2015:Q1,2015-01-09,1.3155,08:30,1.135
1.26,2014:Q4,2014-10-01,1.26,09:01,1.219
1.0,2014:Q3,2014-07-01,0.9984,08:56,1.124
0.75,2014:Q2,2014-04-02,0.7477,09:15,0.834
0.96,2014:Q1,2014-01-09,0.9577,08:47,0.847
1.04,2013:Q4,2013-10-01,1.0347,08:52,1.016
0.97,2013:Q3,2013-07-02,0.9953,08:36,0.892
0.62,2013:Q2,2013-04-03,0.6171,08:25,0.625
0.69,2013:Q1,2013-01-08,0.6927,08:32,0.826
0.88,2012:Q4,2012-10-02,0.8694,08:59,0.931
0.82,2012:Q3,2012-07-02,0.8186,08:34,0.791
0.57,2012:Q2,2012-04-04,0.5674,08:35,0.619
0.74,2012:Q1,2012-01-09,0.7408,08:42,0.654
0.79,2011:Q4,2011-10-05,0.79,08:19,0.787
0.62,2011:Q3,2011-06-29,0.62,,0.634
0.45,2011:Q2,2011-03-30,0.45,09:02,0.5
0.56,2011:Q1,2011-01-10,0.56,08:30,0.574
0.67,2010:Q4,2010-10-06,0.6686,08:11,0.584
0.48,2010:Q3,2010-06-30,0.4754,08:50,0.556
0.4,2010:Q2,2010-03-31,0.3979,09:08,0.365
0.53,2010:Q1,2010-01-06,0.5315,08:41,0.498
