Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.476,2017:Q4,2018-01-17,0.4892,06:56,0.445
0.4788,2017:Q3,2017-10-13,0.4898,06:54,0.456
0.4811,2017:Q2,2017-07-18,0.5111,06:45,0.433
0.416,2017:Q1,2017-04-18,0.474,06:45,0.349
0.3719,2016:Q4,2017-01-13,0.4132,06:45,0.378
0.42,2016:Q3,2016-10-17,0.4323,06:53,0.335
0.37,2016:Q2,2016-07-18,0.4355,06:45,0.329
0.2,2016:Q1,2016-04-14,0.2937,06:45,0.205
0.2811,2015:Q4,2016-01-19,0.3006,06:50,0.267
0.345,2015:Q3,2015-10-14,0.3927,07:00,0.326
0.4381,2015:Q2,2015-07-15,0.4516,07:00,0.36
0.27,2015:Q1,2015-04-15,0.2945,07:00,0.292
0.3129,2014:Q4,2015-01-15,0.3088,07:00,0.313
0.4,2014:Q3,2014-10-15,0.3726,07:00,0.319
0.41,2014:Q2,2014-07-16,0.4168,07:00,0.292
0.34,2014:Q1,2014-04-16,0.3431,07:00,0.267
0.52,2013:Q4,2014-01-15,0.4563,07:00,0.268
0.28,2013:Q3,2013-10-16,0.3044,07:00,0.204
0.32,2013:Q2,2013-07-17,0.3444,07:00,0.262
0.2,2013:Q1,2013-04-17,0.2489,07:00,0.225
0.29,2012:Q4,2013-01-17,0.3546,07:00,0.198
0.23,2012:Q3,2012-10-17,0.207,07:00,0.153
0.17,2012:Q2,2012-07-18,0.2529,07:00,0.148
0.31,2012:Q1,2012-04-19,0.3678,07:00,0.122
-0.0314,2011:Q4,2012-01-19,0.1486,07:00,0.131
0.48,2011:Q3,2011-10-18,0.2648,07:00,0.207
0.33,2011:Q2,2011-07-19,-0.5053,07:00,0.287
0.17,2011:Q1,2011-04-15,0.2955,07:00,0.263
0.3409,2010:Q4,2011-01-21,0.2927,07:03,0.213
0.27,2010:Q3,2010-10-19,0.3216,06:43,0.143
0.27,2010:Q2,2010-07-16,0.2522,07:00,0.236
0.28,2010:Q1,2010-04-16,0.3436,07:00,0.097
-0.52,2009:Q4,2010-01-20,-0.4412,07:05,-0.52
