Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.4417,2018:Q3,2017-12-20,0.4162,16:15,0.371
0.7721,2018:Q2,2017-09-19,0.67,16:15,0.947
0.5296,2018:Q1,2017-06-22,0.5159,16:15,0.659
1.8409,2017:Q4,2017-04-05,1.7777,16:15,1.771
0.8509,2017:Q3,2016-12-21,0.8096,16:15,0.984
1.11,2017:Q2,2016-09-21,1.11,16:15,1.161
0.8,2017:Q1,2016-06-22,0.7967,16:15,0.862
1.85,2016:Q4,2016-04-06,1.8046,16:15,1.808
1.09,2016:Q3,2016-01-07,1.0478,16:15,1.09
1.21,2016:Q2,2015-09-24,1.2218,16:15,1.21
0.93,2016:Q1,2015-06-24,0.9212,16:15,0.945
1.8,2015:Q4,2015-04-08,1.8,16:15,1.804
1.1864,2015:Q3,2015-01-08,1.19,16:15,1.194
1.17,2015:Q2,2014-09-23,1.17,16:15,1.144
0.93,2015:Q1,2014-06-25,0.93,16:15,0.945
1.6,2014:Q4,2014-04-09,1.6,16:15,1.601
1.12,2014:Q3,2014-01-08,1.12,16:15,1.147
1.16,2014:Q2,2013-09-25,1.16,16:15,1.148
0.92,2014:Q1,2013-06-26,0.93,16:15,0.934
1.68,2013:Q4,2013-04-10,1.68,16:15,1.679
1.03,2013:Q3,2012-12-19,1.03,16:15,1.018
0.98,2013:Q2,2012-09-19,0.98,16:15,1.018
0.89,2013:Q1,2012-06-20,0.89,16:15,0.842
1.48,2012:Q4,2012-04-04,1.48,16:15,1.324
0.95,2012:Q3,2011-12-21,0.95,16:15,0.885
0.93,2012:Q2,2011-09-21,0.93,16:15,0.84
0.72,2012:Q1,2011-06-22,0.72,16:15,0.624
1.12,2011:Q4,2011-04-06,1.12,16:15,0.974
0.74,2011:Q3,2010-12-22,0.74,16:15,0.655
0.7,2011:Q2,2010-09-22,0.7,16:15,0.634
0.52,2011:Q1,2010-06-23,0.52,16:15,0.482
0.86,2010:Q4,2010-04-07,0.86,16:15,0.725
0.58,2010:Q3,2010-01-06,0.58,16:15,0.432
