Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.52,2017:Q3,2017-11-02,0.4543,06:00,0.585
0.53,2017:Q2,2017-08-03,0.3482,06:00,0.549
0.38,2017:Q1,2017-05-04,0.3101,06:00,0.345
0.435,2016:Q4,2017-02-02,0.3431,06:00,0.421
0.48,2016:Q3,2016-11-03,0.5455,06:00,0.47
0.525,2016:Q2,2016-08-04,1.0869,06:00,0.498
0.29,2016:Q1,2016-04-28,0.2285,06:00,0.347
0.4,2015:Q4,2016-01-28,0.4227,06:01,0.378
0.55,2015:Q3,2015-10-29,0.578,06:40,0.48
0.445,2015:Q2,2015-07-30,0.427,06:00,0.478
0.345,2015:Q1,2015-04-30,0.3374,06:00,0.397
0.42,2014:Q4,2015-02-05,0.4192,06:00,0.427
0.55,2014:Q3,2014-10-30,0.541,06:00,0.53
0.565,2014:Q2,2014-07-31,0.5619,06:00,0.514
0.405,2014:Q1,2014-05-01,0.325,06:00,0.338
0.43,2013:Q4,2014-01-30,0.4328,06:00,0.363
0.5,2013:Q3,2013-10-24,0.4992,06:00,0.469
0.425,2013:Q2,2013-07-25,0.427,06:00,0.423
0.29,2013:Q1,2013-04-25,0.2796,06:00,0.327
0.32,2012:Q4,2013-01-31,0.3179,06:01,0.33
0.45,2012:Q3,2012-10-25,0.4461,06:01,0.438
0.445,2012:Q2,2012-07-26,0.4457,06:00,0.436
0.315,2012:Q1,2012-04-26,0.2839,06:00,0.296
0.24,2011:Q4,2012-01-26,0.2646,06:00,0.267
0.405,2011:Q3,2011-10-27,0.4072,06:00,0.389
0.425,2011:Q2,2011-07-28,0.4255,06:00,0.43
0.29,2011:Q1,2011-04-28,0.2954,06:00,0.24
0.23,2010:Q4,2011-01-27,0.2652,06:00,0.232
0.35,2010:Q3,2010-10-28,0.3329,06:00,0.357
0.345,2010:Q2,2010-07-29,0.5183,06:00,0.324
0.2125,2010:Q1,2010-04-29,0.2192,06:00,0.186
0.21,2009:Q4,2010-01-28,0.2246,06:00,0.179
