Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.95,2017:Q3,2017-10-26,0.96,06:30,0.876
0.96,2017:Q2,2017-07-27,1.05,06:30,0.893
0.91,2017:Q1,2017-04-27,0.8862,06:30,0.836
0.85,2016:Q4,2017-02-09,0.84,06:30,0.838
0.78,2016:Q3,2016-10-27,0.414,08:00,0.771
0.84,2016:Q2,2016-07-28,0.8167,08:00,0.815
0.8,2016:Q1,2016-04-28,0.7864,08:00,0.782
0.75,2015:Q4,2016-02-11,0.75,08:01,0.718
0.73,2015:Q3,2015-10-29,0.74,08:00,0.701
0.75,2015:Q2,2015-07-30,0.75,08:00,0.829
0.78,2015:Q1,2015-04-30,0.8,08:00,0.842
0.75,2014:Q4,2015-02-12,0.74,08:00,0.752
0.79,2014:Q3,2014-10-30,0.78,08:09,0.787
0.89,2014:Q2,2014-07-31,0.89,08:00,0.871
0.83,2014:Q1,2014-05-01,0.82,08:00,0.799
0.79,2013:Q4,2014-02-13,0.7642,08:00,0.711
0.7,2013:Q3,2013-10-30,0.725,08:00,0.671
0.75,2013:Q2,2013-07-25,0.375,08:00,0.705
0.65,2013:Q1,2013-04-25,0.3127,08:00,0.62
0.58,2012:Q4,2013-02-14,0.5694,08:01,0.571
0.595,2012:Q3,2012-10-31,0.5601,07:30,0.596
0.68,2012:Q2,2012-07-26,0.68,08:00,0.686
0.64,2012:Q1,2012-04-26,0.64,08:00,0.647
0.595,2011:Q4,2012-02-14,0.5836,08:00,0.584
0.575,2011:Q3,2011-10-28,0.575,08:00,0.52
0.56,2011:Q2,2011-07-28,0.6037,08:00,0.493
0.5,2011:Q1,2011-04-28,0.5,08:00,0.486
0.445,2010:Q4,2011-02-10,0.5065,08:00,0.413
0.355,2010:Q3,2010-10-27,0.435,08:00,0.317
0.39,2010:Q2,2010-07-30,0.34,08:00,0.336
0.325,2010:Q1,2010-04-29,0.3246,08:00,0.21
0.21,2009:Q4,2010-02-11,0.2106,08:00,0.11
