Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.16,2012:Q3,2012-10-19,1.164,08:00,1.131
1.18,2012:Q2,2012-07-25,1.1833,08:00,1.114
1.06,2012:Q1,2012-05-02,1.0485,08:00,1.004
1.02,2011:Q4,2012-01-24,1.0162,08:00,0.952
0.98,2011:Q3,2011-10-20,0.98,08:00,0.965
0.96,2011:Q2,2011-07-21,0.96,08:00,0.955
0.87,2011:Q1,2011-04-25,0.93,08:00,0.841
0.85,2010:Q4,2011-01-26,0.85,08:00,0.851
0.86,2010:Q3,2010-10-21,0.8558,08:00,0.839
0.81,2010:Q2,2010-07-22,0.8625,08:00,0.77
0.72,2010:Q1,2010-04-22,0.7155,09:00,0.69
0.76,2009:Q4,2010-01-26,0.7904,08:00,0.667
