Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.71,2017:Q4,2018-01-19,0.708,06:30,0.673
0.68,2017:Q3,2017-10-20,0.68,06:30,0.641
0.6267,2017:Q2,2017-07-21,0.63,06:30,0.594
0.57,2017:Q1,2017-04-20,0.5808,06:45,0.506
0.55,2016:Q4,2017-01-20,0.55,06:50,0.521
0.52,2016:Q3,2016-10-21,0.5217,06:50,0.48
0.46,2016:Q2,2016-07-21,0.46,06:50,0.435
0.41,2016:Q1,2016-04-21,0.4066,06:50,0.389
0.42,2015:Q4,2016-01-22,0.42,06:50,0.417
0.4,2015:Q3,2015-10-23,0.4,07:00,0.397
0.4,2015:Q2,2015-07-21,0.3963,06:30,0.377
0.39,2015:Q1,2015-04-22,0.3918,07:00,0.342
0.39,2014:Q4,2015-01-26,0.3963,07:00,0.355
0.3606,2014:Q3,2014-10-27,0.3619,07:00,0.33
