Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.7698,2018:Q2,2018-02-02,1.1548,06:30,1.225
1.46,2018:Q1,2017-11-01,1.46,06:30,1.418
1.5313,2017:Q4,2017-08-03,1.4857,06:30,1.492
1.3094,2017:Q3,2017-05-03,1.31,06:30,1.297
1.257,2017:Q2,2017-02-03,1.14,06:30,1.219
1.36,2017:Q1,2016-11-02,1.36,06:30,1.418
1.3,2016:Q4,2016-08-03,1.2551,06:30,1.277
1.21,2016:Q3,2016-05-03,1.21,06:30,1.106
1.14,2016:Q2,2016-02-04,1.14,06:30,1.048
1.32,2016:Q1,2015-11-02,1.32,06:30,1.184
1.44,2015:Q4,2015-08-03,1.44,08:30,1.372
1.08,2015:Q3,2015-05-01,1.08,08:30,1.094
0.97,2015:Q2,2015-02-04,0.97,08:30,0.893
1.1,2015:Q1,2014-10-31,1.1,08:30,1.029
1.3,2014:Q4,2014-08-01,1.2901,08:30,1.351
1.18,2014:Q3,2014-05-01,1.14,08:30,1.076
0.88,2014:Q2,2014-02-04,0.9,08:30,0.907
1.04,2014:Q1,2013-10-31,1.05,08:30,1.008
1.38,2013:Q4,2013-08-01,1.3561,08:30,1.343
1.0,2013:Q3,2013-05-01,1.0,08:30,1.051
0.9,2013:Q2,2013-02-04,0.93,08:30,0.806
1.01,2013:Q1,2012-10-31,1.01,08:30,0.956
1.36,2012:Q4,2012-08-02,1.32,08:30,1.265
1.02,2012:Q3,2012-05-02,1.02,08:30,1.032
0.82,2012:Q2,2012-02-03,0.79,08:30,0.688
1.02,2012:Q1,2011-11-02,1.02,08:30,0.936
1.25,2011:Q4,2011-08-03,1.2795,08:30,1.203
1.03,2011:Q3,2011-05-03,1.05,08:30,1.044
0.68,2011:Q2,2011-02-04,0.715,08:29,0.624
0.98,2011:Q1,2010-11-02,1.0,08:30,1.128
1.2,2010:Q4,2010-08-03,1.0684,08:30,1.21
1.16,2010:Q3,2010-05-03,1.0009,08:30,1.098
0.8,2010:Q2,2010-02-04,0.66,08:30,0.779
