Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.49,2017:Q4,2018-01-24,0.488,07:00,0.469
0.52,2017:Q3,2017-10-26,0.5103,07:00,0.496
0.5226,2017:Q2,2017-07-27,0.5203,06:00,0.485
0.53,2017:Q1,2017-04-27,0.5306,07:00,0.444
0.89,2016:Q4,2017-01-26,0.8934,07:00,0.436
0.92,2016:Q3,2016-10-26,0.9288,07:00,0.457
0.83,2016:Q2,2016-07-27,0.8576,07:00,0.407
0.84,2016:Q1,2016-04-27,0.8475,07:00,0.399
0.81,2015:Q4,2016-02-03,0.8122,07:06,0.411
0.8,2015:Q3,2015-10-27,0.8101,07:00,0.402
0.84,2015:Q2,2015-07-23,0.8399,07:00,0.423
0.79,2015:Q1,2015-05-04,0.8005,06:00,0.37
0.77,2014:Q4,2015-02-24,0.7653,07:00,0.392
0.73,2014:Q3,2014-10-23,0.7327,07:00,0.356
0.75,2014:Q2,2014-07-22,0.7571,07:00,0.361
0.68,2014:Q1,2014-04-22,0.6863,07:00,-2.4245362661989844e-14
0.66,2013:Q4,2014-01-28,0.6612,07:00,0.339
0.65,2013:Q3,2013-10-30,0.6331,07:00,0.307
0.65,2013:Q2,2013-07-31,0.6502,07:00,0.318
0.51,2013:Q1,2013-05-01,0.5086,07:00,0.255
0.52,2012:Q4,2013-02-12,0.5248,16:31,0.272
0.46,2012:Q3,2012-10-26,0.4611,07:00,0.232
0.5,2012:Q2,2012-08-01,0.4974,07:00,0.239
0.45,2012:Q1,2012-05-02,0.4512,07:00,0.215
0.47,2011:Q4,2012-02-15,0.47,07:00,0.213
0.33,2011:Q3,2011-11-02,0.33,07:00,0.2
0.42,2011:Q2,2011-08-03,0.4189,07:00,0.203
0.36,2011:Q1,2011-05-03,0.3599,16:30,0.174
0.35,2010:Q4,2011-02-16,0.36,07:00,0.163
0.32,2010:Q3,2010-10-27,0.325,07:00,0.149
0.33,2010:Q2,2010-07-28,0.3221,07:00,0.161
0.31,2010:Q1,2010-04-28,0.3135,07:00,0.147
0.29,2009:Q4,2010-02-03,0.3099,07:00,0.137
