Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
2.65,2017:Q4,2017-12-07,2.1527,16:15,2.643
2.64,2017:Q3,2017-08-31,2.2381,16:15,2.578
2.5,2017:Q2,2017-06-01,2.2001,16:15,2.25
1.93,2017:Q1,2017-03-02,1.63,16:15,1.874
2.28,2016:Q4,2016-12-08,1.7774,16:13,2.248
2.3,2016:Q3,2016-09-01,1.9678,16:15,2.274
2.05,2016:Q2,2016-06-02,1.7047,16:15,1.917
1.83,2016:Q1,2016-03-03,1.395,16:15,1.583
2.0,2015:Q4,2015-12-03,2.17,16:23,2.107
1.97,2015:Q3,2015-09-03,1.4815,16:01,1.944
1.72,2015:Q2,2015-06-04,1.4072,16:01,1.753
1.75,2015:Q1,2015-03-05,1.46,16:01,1.535
1.95,2014:Q4,2014-12-04,1.3614,16:01,2.031
1.9,2014:Q3,2014-09-04,1.8678,16:01,1.903
1.64,2014:Q2,2014-06-05,1.6387,16:01,1.599
1.47,2014:Q1,2014-03-06,1.47,16:01,1.456
1.48,2013:Q4,2013-12-05,1.4253,16:01,1.802
1.74,2013:Q3,2013-09-05,1.79,16:01,1.716
1.5,2013:Q2,2013-06-06,1.52,16:01,1.382
1.23,2013:Q1,2013-03-07,1.3234,16:01,1.191
1.47,2012:Q4,2012-12-06,1.401,16:01,1.548
1.45,2012:Q3,2012-09-06,1.426,16:01,1.291
1.12,2012:Q2,2012-06-07,1.12,16:01,1.197
1.12,2012:Q1,2012-03-08,1.12,16:01,1.04
1.46,2011:Q4,2011-12-08,1.2822,16:01,1.212
1.15,2011:Q3,2011-08-31,0.9,16:01,1.081
1.02,2011:Q2,2011-06-02,0.9522,16:01,0.926
0.85,2011:Q1,2011-03-03,0.8561,16:01,0.675
1.09,2010:Q4,2010-12-07,1.089,16:01,0.875
0.91,2010:Q3,2010-09-02,0.9539,,0.714
0.61,2010:Q2,2010-06-03,0.529,16:07,0.61
0.49,2010:Q1,2010-03-04,0.4865,16:01,0.513
