Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.92,2018:Q1,2017-11-21,0.9199,07:15,0.972
0.52,2017:Q4,2017-08-31,0.5187,07:15,0.551
0.59,2017:Q3,2017-05-19,0.5921,07:15,0.638
0.91,2017:Q2,2017-02-17,0.9158,07:15,0.879
1.0,2017:Q1,2016-11-22,1.0013,07:15,0.947
0.46,2016:Q4,2016-09-01,0.4626,07:15,0.498
0.65,2016:Q3,2016-05-20,0.6479,07:15,0.644
0.87,2016:Q2,2016-02-25,0.8592,16:26,0.87
0.95,2016:Q1,2015-11-24,0.9501,07:15,0.755
0.43,2015:Q4,2015-09-03,0.4859,07:15,0.432
0.62,2015:Q3,2015-05-22,0.6565,07:15,0.52
0.66,2015:Q2,2015-02-25,0.71,07:15,0.652
0.74,2015:Q1,2014-11-25,0.78,07:15,0.721
0.49,2014:Q4,2014-09-08,0.487,07:15,0.494
0.62,2014:Q3,2014-05-19,0.6169,07:00,0.591
0.76,2014:Q2,2014-02-14,0.7558,07:30,0.726
0.66,2014:Q1,2013-11-19,0.6583,06:30,0.863
0.45,2013:Q4,2013-08-29,1.6394,07:00,0.418
0.62,2013:Q3,2013-05-20,0.5742,07:30,0.562
0.7,2013:Q2,2013-02-15,0.6349,Bef-mkt,0.658
0.88,2013:Q1,2012-11-20,0.8376,07:30,0.853
0.41,2012:Q4,2012-09-04,0.4077,07:30,0.379
0.5648,2012:Q3,2012-05-21,0.5594,07:30,0.519
0.64,2012:Q2,2012-02-17,0.6463,07:30,0.618
0.82,2012:Q1,2011-11-22,0.824,07:30,0.794
0.43,2011:Q4,2011-09-02,0.4361,07:30,0.376
0.57,2011:Q3,2011-05-23,0.57,07:30,0.52
0.71,2011:Q2,2011-02-18,0.71,07:30,0.715
0.82,2011:Q1,2010-11-23,0.82,07:30,0.822
0.33,2010:Q4,2010-09-03,0.33,07:30,0.303
0.54,2010:Q3,2010-05-24,0.5398,07:00,0.512
0.74,2010:Q2,2010-02-22,0.74,07:00,0.736
