Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.39,2018:Q3,2017-11-21,0.07,16:05,0.366
0.33,2018:Q2,2017-08-22,0.02,16:05,0.316
0.28,2018:Q1,2017-05-18,-0.0127,16:05,0.259
0.28,2017:Q4,2017-02-28,-0.0831,16:05,0.248
0.24,2017:Q2,2016-08-31,0.33,16:05,0.22
0.24,2017:Q1,2016-05-18,0.0458,16:05,0.232
0.19,2016:Q4,2016-02-24,-0.0377,16:05,0.191
0.21,2016:Q3,2015-11-18,-0.072,16:05,0.187
0.19,2016:Q2,2015-08-20,-0.0012,16:05,0.175
0.16,2016:Q1,2015-05-20,-0.0335,16:05,0.138
0.14,2015:Q4,2015-02-25,-0.1028,16:05,0.136
0.14,2015:Q3,2014-11-19,-0.0763,16:05,0.128
0.13,2015:Q2,2014-08-21,-0.0996,16:05,0.119
0.11,2015:Q1,2014-05-20,-0.1481,16:05,0.098
0.07,2014:Q4,2014-02-27,-0.1919,16:05,0.061
0.09,2014:Q3,2013-11-18,-0.2098,16:05,0.087
0.09,2014:Q2,2013-08-29,0.1189,16:05,0.069
0.1,2014:Q1,2013-05-23,-0.12,16:05,0.105
0.1275,2013:Q4,2013-02-28,-0.0358,16:05,0.099
0.0825,2013:Q3,2012-11-20,-0.0795,16:05,0.08
0.105,2013:Q2,2012-08-23,-0.0203,16:05,0.097
0.0925,2013:Q1,2012-05-17,-0.0349,16:05,0.086
0.1075,2012:Q4,2012-02-23,-0.0084,16:05,0.1
0.085,2012:Q3,2011-11-17,-0.0076,16:05,0.077
0.075,2012:Q2,2011-08-18,0.0023,16:05,0.073
0.07,2012:Q1,2011-05-19,-0.0021,16:05,0.068
0.0775,2011:Q4,2011-02-24,0.0021,16:05,0.067
0.08,2011:Q3,2010-11-18,0.0336,16:05,0.077
0.0725,2011:Q2,2010-08-19,0.0268,16:24,0.067
0.075,2011:Q1,2010-05-20,0.029,16:09,0.076
0.0725,2010:Q4,2010-02-24,0.0331,16:05,0.062
