Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.96,2017:Q4,2018-01-11,0.9533,07:00,0.874
1.57,2017:Q3,2017-10-11,1.5691,07:00,1.522
1.64,2017:Q2,2017-07-13,1.6485,07:00,1.655
0.77,2017:Q1,2017-04-12,0.7112,07:00,0.745
0.82,2016:Q4,2017-01-12,0.8156,07:00,0.821
1.7,2016:Q3,2016-10-13,1.6954,07:00,1.648
1.47,2016:Q2,2016-07-14,1.4769,07:00,1.42
1.32,2016:Q1,2016-04-14,1.3126,07:00,1.295
1.18,2015:Q4,2016-01-19,1.1812,07:00,1.189
1.74,2015:Q3,2015-10-14,1.7368,07:00,1.716
1.27,2015:Q2,2015-07-15,1.2653,07:30,1.213
0.45,2015:Q1,2015-04-15,0.4472,09:00,0.438
0.78,2014:Q4,2015-01-20,0.7867,07:30,0.769
1.2,2014:Q3,2014-10-16,1.1994,07:30,1.176
1.04,2014:Q2,2014-07-23,1.0435,07:30,1.033
0.33,2014:Q1,2014-04-23,0.3297,07:30,0.287
0.65,2013:Q4,2014-01-21,0.6581,07:30,0.628
1.41,2013:Q3,2013-10-22,1.3821,07:30,1.348
0.98,2013:Q2,2013-07-24,0.9851,07:30,0.949
0.1,2013:Q1,2013-04-23,0.1002,08:00,0.058
0.28,2012:Q4,2013-01-22,0.2811,07:31,0.288
0.9,2012:Q3,2012-10-24,0.9018,07:30,0.909
0.69,2012:Q2,2012-07-25,0.6923,07:30,0.683
-0.05,2012:Q1,2012-04-25,-0.0875,07:30,-0.046
0.45,2011:Q4,2012-01-25,0.4456,07:30,0.376
0.91,2011:Q3,2011-10-25,0.9059,07:30,0.938
0.43,2011:Q2,2011-07-27,0.4291,07:30,0.442
-0.38,2011:Q1,2011-04-26,-0.3824,07:30,-0.501
0.18,2010:Q4,2011-01-18,0.1845,07:00,0.24
1.1,2010:Q3,2010-10-20,1.1022,07:30,0.943
0.65,2010:Q2,2010-07-19,0.6474,07:30,0.664
-0.23,2010:Q1,2010-04-20,-0.2451,07:30,-0.227
-0.27,2009:Q4,2010-01-26,-0.2711,07:37,-0.22
