Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.57,2017:Q3,2017-11-09,0.57,06:02,0.637
0.4975,2017:Q2,2017-08-03,0.495,06:02,0.745
0.7303,2017:Q1,2017-05-01,0.7571,06:05,0.672
0.7,2016:Q4,2017-02-22,0.7169,06:02,0.659
0.64,2016:Q3,2016-11-09,0.666,06:06,0.674
0.88,2016:Q2,2016-07-21,0.8696,06:06,0.73
0.84,2016:Q1,2016-04-20,0.7501,06:06,0.621
0.625,2015:Q4,2016-02-18,0.6306,06:05,0.464
0.42,2015:Q3,2015-11-09,0.4005,06:05,0.406
0.7,2015:Q2,2015-08-05,0.6511,06:05,0.452
0.76,2015:Q1,2015-05-11,0.6768,,0.4
0.88,2014:Q4,2015-02-23,0.8974,06:05,0.431
0.31,2014:Q3,2014-11-04,0.3199,,0.388
0.46,2014:Q2,2014-08-06,0.4554,,0.507
0.38,2014:Q1,2014-05-08,0.3807,06:04,0.441
0.64,2013:Q4,2014-02-21,0.5842,06:07,0.4
0.68,2013:Q3,2013-11-12,0.6683,06:01,0.433
0.4976,2013:Q2,2013-08-06,0.5859,06:01,0.533
0.47,2013:Q1,2013-05-09,0.4811,Bef-mkt,0.535
0.51,2012:Q4,2013-02-20,0.5401,06:00,0.514
0.6528,2012:Q3,2012-11-06,0.6011,Bef-mkt,0.557
0.5,2012:Q2,2012-08-08,0.5121,Bef-mkt,0.662
0.8,2012:Q1,2012-05-07,0.641,Bef-mkt,0.702
0.7,2011:Q4,2012-02-23,0.7419,06:00,0.611
0.71,2011:Q3,2011-11-07,0.6783,,0.735
0.75,2011:Q2,2011-08-09,0.8127,06:00,0.785
1.22,2011:Q1,2011-05-02,0.7098,06:00,0.675
0.56,2010:Q4,2011-02-24,0.6929,06:14,0.534
0.55,2010:Q3,2010-11-05,0.6502,06:00,0.432
0.57,2010:Q2,2010-08-09,0.6157,06:05,0.534
0.52,2010:Q1,2010-05-10,0.5543,06:30,0.488
0.4,2009:Q4,2010-03-01,0.4584,06:00,0.317
