Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.73,2018:Q2,2017-12-19,0.7323,07:00,0.704
0.99,2018:Q1,2017-09-26,0.9789,07:00,0.988
1.18,2017:Q4,2017-06-27,1.0777,07:00,1.154
1.32,2017:Q3,2017-03-27,1.3164,16:13,1.269
0.64,2017:Q2,2016-12-20,0.6405,07:00,0.635
0.88,2017:Q1,2016-10-04,0.84,07:00,0.82
1.1,2016:Q4,2016-06-30,1.0924,07:13,1.085
1.21,2016:Q3,2016-04-05,0.8295,07:00,1.199
0.54,2016:Q2,2015-12-18,0.59,07:00,0.42
0.68,2016:Q1,2015-09-22,0.6723,07:00,0.575
1.08,2015:Q4,2015-06-23,1.1139,07:02,0.929
0.99,2015:Q3,2015-03-20,1.0407,07:00,0.841
0.28,2015:Q2,2014-12-16,0.4855,16:05,0.273
0.32,2015:Q1,2014-09-12,0.3184,07:00,0.317
0.84,2014:Q4,2014-06-20,0.53,07:00,0.938
0.88,2014:Q3,2014-03-21,0.6417,07:00,0.88
0.16,2014:Q2,2013-12-19,0.0467,07:05,0.197
0.53,2014:Q1,2013-09-20,0.3283,07:30,0.703
1.02,2013:Q4,2013-06-21,0.6074,07:00,1.04
1.02,2013:Q3,2013-03-22,1.0352,07:00,1.012
0.31,2013:Q2,2012-12-20,0.3098,07:00,0.304
0.85,2013:Q1,2012-09-21,0.85,07:00,0.832
1.15,2012:Q4,2012-06-22,1.1523,07:11,1.151
1.25,2012:Q3,2012-03-23,1.25,07:00,1.242
0.41,2012:Q2,2011-12-16,0.41,07:00,0.411
0.78,2012:Q1,2011-09-28,0.78,07:00,0.784
1.0,2011:Q4,2011-06-30,1.0019,16:30,0.997
1.08,2011:Q3,2011-03-24,1.08,16:30,1.045
0.54,2011:Q2,2010-12-20,0.54,16:30,0.54
0.8,2011:Q1,2010-09-21,0.8,16:30,0.771
0.87,2010:Q4,2010-06-23,0.819,16:30,0.882
0.99,2010:Q3,2010-03-23,0.95,16:30,0.924
