Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.37,2017:Q3,2017-10-31,1.3765,08:34,1.355
1.13,2017:Q2,2017-08-01,1.1321,08:15,1.125
0.8,2017:Q1,2017-05-02,0.7964,08:15,0.807
1.25,2016:Q4,2017-02-21,1.262,08:30,1.273
1.28,2016:Q3,2016-11-01,1.2923,08:30,1.28
1.08,2016:Q2,2016-08-02,1.0763,08:30,1.078
0.77,2016:Q1,2016-05-03,0.7671,08:30,0.76
1.22,2015:Q4,2016-02-23,1.215,08:30,1.244
1.28,2015:Q3,2015-11-02,1.1052,08:30,1.284
1.08,2015:Q2,2015-07-28,1.0721,08:30,1.079
0.8,2015:Q1,2015-04-28,0.7961,08:30,0.81
1.2,2014:Q4,2015-02-24,1.1851,08:30,1.2
1.21,2014:Q3,2014-10-28,1.1995,08:30,1.203
1.03,2014:Q2,2014-07-29,1.0365,08:05,1.022
0.74,2014:Q1,2014-04-28,0.7255,08:20,0.742
1.04,2013:Q4,2014-02-21,0.965,08:30,1.047
1.04,2013:Q3,2013-10-29,1.0222,08:30,1.033
0.86,2013:Q2,2013-07-30,0.8103,08:30,0.842
0.6,2013:Q1,2013-04-30,0.5982,08:30,0.585
0.89,2012:Q4,2013-02-26,0.856,08:20,0.889
0.87,2012:Q3,2012-10-30,0.8334,08:25,0.869
0.72,2012:Q2,2012-07-31,0.6878,08:51,0.719
0.5,2012:Q1,2012-05-01,0.2892,08:30,0.482
0.7,2011:Q4,2012-02-28,0.5328,08:25,0.698
0.75,2011:Q3,2011-10-25,0.7379,08:55,0.747
0.64,2011:Q2,2011-07-27,0.6304,08:25,0.637
0.45,2011:Q1,2011-04-26,0.4527,09:11,0.439
0.6,2010:Q4,2011-02-17,0.5934,08:45,0.607
0.66,2010:Q3,2010-10-26,0.675,09:00,0.653
0.56,2010:Q2,2010-07-27,0.5505,08:53,0.56
0.41,2010:Q1,2010-04-27,0.4062,08:50,0.394
0.55,2009:Q4,2010-02-11,0.5361,08:48,0.562
