Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.45,2016:Q2,2016-07-18,0.3104,16:19,0.418
0.307,2016:Q1,2016-04-20,0.1715,06:54,0.33
0.647,2015:Q4,2016-01-27,0.4887,07:02,0.648
0.429,2015:Q3,2015-10-21,0.2904,06:58,0.43
0.433,2015:Q2,2015-07-22,0.2967,06:51,0.409
0.31,2015:Q1,2015-04-22,0.1925,06:56,0.361
0.69,2014:Q4,2015-01-29,0.544,06:54,0.683
0.44,2014:Q3,2014-10-22,0.3165,06:52,0.462
0.43,2014:Q2,2014-07-23,0.3037,06:53,0.425
0.35,2014:Q1,2014-04-23,0.2411,07:00,0.349
0.6,2013:Q4,2014-01-29,0.4896,06:53,0.591
0.4,2013:Q3,2013-10-22,0.2894,06:52,0.453
0.42,2013:Q2,2013-07-24,0.3172,07:07,0.415
0.39,2013:Q1,2013-04-24,0.2806,07:00,0.395
0.54,2012:Q4,2013-01-29,0.4354,06:48,0.523
0.4,2012:Q3,2012-10-24,0.2909,06:47,0.42
0.39,2012:Q2,2012-07-24,0.297,06:43,0.394
0.37,2012:Q1,2012-04-19,0.279,06:49,0.36
0.49,2011:Q4,2012-01-24,0.3916,06:46,0.461
0.37,2011:Q3,2011-10-18,0.2859,07:00,0.363
0.35,2011:Q2,2011-07-20,0.2603,06:54,0.338
0.31,2011:Q1,2011-04-20,0.2205,06:42,0.311
0.42,2010:Q4,2011-01-25,0.3463,07:00,0.411
0.3,2010:Q3,2010-10-19,0.2238,07:00,0.297
0.28,2010:Q2,2010-07-21,0.2038,07:00,0.275
0.26,2010:Q1,2010-04-21,0.1821,07:00,0.241
0.33,2009:Q4,2010-01-26,0.2487,07:03,0.304
