Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.3071,2017:Q4,2018-01-30,0.3023,16:34,0.328
0.3293,2017:Q3,2017-10-24,0.3248,17:13,0.327
0.3023,2017:Q2,2017-07-25,0.2932,16:15,0.316
0.244,2017:Q1,2017-04-25,0.2375,16:25,0.289
0.2706,2016:Q4,2017-01-31,0.2818,16:33,0.363
0.3108,2016:Q3,2016-10-25,0.3101,16:14,0.338
0.4456,2016:Q2,2016-07-26,0.4399,16:13,0.368
9.76,2016:Q1,2016-04-26,-0.4061,16:21,0.31
0.55,2015:Q4,2016-02-02,0.4465,16:17,0.433
0.5298,2015:Q3,2015-10-26,0.3542,06:00,0.4
0.78,2015:Q2,2015-07-28,0.376,16:11,0.43
0.49,2015:Q1,2015-04-28,0.2719,16:10,0.344
0.59,2014:Q4,2015-02-03,0.3565,16:48,0.37
0.6102,2014:Q3,2014-10-28,0.2935,17:12,0.325
0.31,2014:Q2,2014-07-29,0.2645,16:53,0.518
0.21,2014:Q1,2014-04-30,0.2101,16:17,0.23
0.1153,2013:Q4,2014-02-04,0.1755,16:45,-0.127
-0.0745,2013:Q3,2013-10-30,-0.0869,16:29,0.13
-0.1779,2013:Q2,2013-07-30,-0.2396,16:21,0.083
-0.5262,2013:Q1,2013-04-30,-0.6234,17:17,0.244
0.4236,2012:Q4,2013-02-05,0.2766,16:58,0.713
0.39,2012:Q3,2012-10-24,0.2474,17:43,0.268
0.1,2012:Q2,2012-07-25,-0.0267,17:25,0.115
0.04,2012:Q1,2012-04-25,-0.0757,16:55,0.123
0.11,2011:Q4,2012-02-01,0.0815,16:25,0.127
0.1,2011:Q3,2011-10-26,0.08,17:26,0.185
0.06,2011:Q2,2011-07-27,-0.0624,16:52,0.08
0.0011,2011:Q1,2011-04-27,-0.04,16:15,0.085
0.0029,2010:Q4,2011-02-02,-0.0531,17:49,0.302
0.0547,2010:Q3,2010-10-27,-0.0134,16:55,0.045
0.0237,2010:Q2,2010-07-28,-0.05,16:40,0.103
-0.0224,2010:Q1,2010-04-28,-0.04,16:22,0.03
-0.034,2009:Q4,2010-02-03,-0.08,16:32,-0.027
