Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
-0.05,2017:Q3,2017-10-25,-0.0551,17:15,-0.14
-0.1033,2017:Q2,2017-07-26,-0.122,17:12,-0.126
-0.04,2017:Q1,2017-04-26,-0.0569,20:51,-0.109
0.07,2016:Q4,2017-02-27,0.0985,17:37,0.048
0.21,2016:Q3,2016-10-26,0.28,19:49,0.136
0.51,2016:Q2,2016-07-27,0.51,16:45,0.5
0.74,2016:Q1,2016-04-27,0.74,16:33,0.775
0.92,2015:Q4,2016-02-24,0.6883,18:23,0.726
0.8976,2015:Q3,2015-10-28,1.4576,18:04,0.733
1.18,2015:Q2,2015-07-29,1.1688,17:19,1.025
1.49,2015:Q1,2015-04-29,1.4546,17:16,1.29
1.68,2014:Q4,2015-02-25,0.1182,20:29,1.367
1.87,2014:Q3,2014-10-29,1.79,17:42,1.612
1.58,2014:Q2,2014-07-30,1.5175,20:30,1.311
1.24,2014:Q1,2014-04-28,1.26,20:30,1.217
1.56,2013:Q4,2014-02-19,1.56,18:34,1.589
1.69,2013:Q3,2013-10-23,1.66,18:46,1.613
1.55,2013:Q2,2013-07-30,1.48,06:01,1.478
1.36,2013:Q1,2013-04-29,1.3583,17:46,1.296
1.37,2012:Q4,2013-02-20,1.04,19:36,1.269
1.53,2012:Q3,2012-10-31,1.55,18:02,1.297
1.41,2012:Q2,2012-07-25,1.413,21:03,1.247
1.16,2012:Q1,2012-05-02,1.2085,19:46,1.151
0.99,2011:Q4,2012-02-22,1.0224,21:10,0.946
0.89,2011:Q3,2011-11-02,0.92,18:56,0.822
0.68,2011:Q2,2011-08-08,0.6778,19:03,0.675
0.45,2011:Q1,2011-04-20,0.45,19:02,0.48
0.9,2010:Q4,2011-02-23,0.9,20:32,0.696
0.92,2010:Q3,2010-10-20,0.92,19:50,0.891
0.89,2010:Q2,2010-07-21,0.85,19:23,0.805
1.11,2010:Q1,2010-04-21,1.12,19:40,1.014
1.24,2009:Q4,2010-02-24,1.4,20:20,1.224
