Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.6436,2017:Q4,2018-01-25,0.858,16:05,0.609
0.6384,2017:Q3,2017-10-19,0.6368,16:05,0.509
0.5186,2017:Q2,2017-07-20,0.7094,16:05,0.481
0.4966,2017:Q1,2017-04-20,0.4894,16:05,0.389
0.4469,2016:Q4,2017-01-26,0.4765,16:05,0.425
0.4356,2016:Q3,2016-10-20,0.5493,16:05,0.388
0.48,2016:Q2,2016-07-21,0.4823,16:05,0.379
0.43,2016:Q1,2016-04-21,0.4264,16:05,0.327
0.3326,2015:Q4,2016-01-21,0.3198,16:05,0.297
0.33,2015:Q3,2015-10-22,-0.4383,16:05,0.292
0.2772,2015:Q2,2015-07-23,0.2485,16:05,0.269
0.29,2015:Q1,2015-04-23,0.3098,16:05,0.248
0.26,2014:Q4,2015-01-22,0.2373,16:05,0.256
0.2668,2014:Q3,2014-10-21,0.2944,16:05,0.223
0.24,2014:Q2,2014-07-23,0.2482,16:05,0.231
0.33,2014:Q1,2014-04-23,0.3394,16:05,0.228
0.2,2013:Q4,2014-01-23,0.2103,16:05,0.191
0.16,2013:Q3,2013-10-23,0.1742,16:05,0.164
0.21,2013:Q2,2013-07-24,0.2306,16:05,0.124
0.12,2013:Q1,2013-04-18,0.1189,16:05,0.12
-0.65,2012:Q4,2013-01-24,0.0059,16:05,-0.495
0.04,2012:Q3,2012-10-18,0.0498,16:05,0.083
0.14,2012:Q2,2012-07-19,0.1419,16:05,0.112
0.13,2012:Q1,2012-04-19,0.1262,16:05,0.093
-0.02,2011:Q4,2012-01-25,-0.0185,16:05,0.208
0.16,2011:Q3,2011-10-19,0.0281,16:05,0.184
0.16,2011:Q2,2011-07-20,0.1577,16:05,0.158
0.16,2011:Q1,2011-04-20,0.168,16:05,0.118
-0.11,2010:Q4,2011-01-26,-0.0809,16:05,0.04
0.03,2010:Q3,2010-10-20,0.0366,16:05,0.027
0.12,2010:Q2,2010-07-22,0.1158,16:05,-0.11
-0.2,2010:Q1,2010-04-21,-0.2386,16:05,-0.306
-0.4,2009:Q4,2010-01-27,-0.3119,16:05,-0.416
