Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
2.35,2017:Q3,2017-10-24,2.3516,06:30,2.173
3.11,2017:Q2,2017-08-02,3.1096,06:30,1.184
0.99,2017:Q1,2017-04-26,0.9871,06:30,1.07
0.31,2016:Q4,2017-02-15,0.306,06:30,0.118
2.31,2016:Q3,2016-10-25,2.3128,06:30,2.019
3.11,2016:Q2,2016-08-02,3.1065,06:30,1.049
1.35,2016:Q1,2016-04-26,1.35,06:30,1.202
1.58,2015:Q4,2016-02-18,1.5816,06:30,1.448
1.9,2015:Q3,2015-11-02,1.8974,07:10,2.024
0.83,2015:Q2,2015-08-04,0.8352,07:00,1.137
1.68,2015:Q1,2015-04-28,1.6755,Bef-mkt,1.301
0.75,2014:Q4,2015-02-05,0.75,07:00,0.809
1.68,2014:Q3,2014-11-04,2.2715,07:00,1.678
1.11,2014:Q2,2014-07-29,1.0917,07:00,1.108
2.29,2014:Q1,2014-04-24,2.2769,07:00,2.288
1.0,2013:Q4,2014-02-11,1.0013,07:00,0.829
2.41,2013:Q3,2013-10-29,2.3683,07:00,2.327
1.01,2013:Q2,2013-07-30,0.92,07:00,1.148
0.94,2013:Q1,2013-04-24,0.9,Bef-mkt,0.827
1.72,2012:Q4,2013-02-08,1.66,07:00,1.712
1.95,2012:Q3,2012-11-05,1.89,07:00,2.003
2.11,2012:Q2,2012-07-31,2.06,07:00,1.409
0.44,2012:Q1,2012-04-26,0.4,07:01,0.745
0.94,2011:Q4,2012-01-31,0.87,07:00,0.892
3.53,2011:Q3,2011-11-01,2.2752,07:00,3.051
1.76,2011:Q2,2011-08-02,1.76,07:00,1.726
1.38,2011:Q1,2011-04-29,1.38,07:00,1.334
1.3,2010:Q4,2011-02-08,1.1023,07:00,1.288
2.76,2010:Q3,2010-10-21,2.6207,07:00,2.633
1.71,2010:Q2,2010-08-03,1.6633,07:01,1.551
1.33,2010:Q1,2010-04-29,1.12,07:01,1.318
1.75,2009:Q4,2010-02-02,1.6424,07:00,1.488
