Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.94,2017:Q4,2018-02-01,0.6297,16:15,0.91
0.84,2017:Q3,2017-10-24,0.8019,16:15,0.862
1.08,2017:Q2,2017-07-26,0.9987,16:15,0.881
0.94,2017:Q1,2017-04-25,1.1018,16:15,0.822
0.75,2016:Q4,2017-02-01,0.7494,16:15,0.718
0.68,2016:Q3,2016-10-25,0.6715,16:15,0.678
0.76,2016:Q2,2016-07-26,0.7446,16:15,0.699
0.71,2016:Q1,2016-04-26,0.7024,16:15,0.658
0.63,2015:Q4,2016-02-02,0.65,16:15,0.598
0.535,2015:Q3,2015-10-26,0.5436,16:15,0.491
0.565,2015:Q2,2015-07-28,0.5131,16:01,0.528
0.56,2015:Q1,2015-04-23,0.2804,16:01,0.524
0.53,2014:Q4,2015-02-03,0.2956,16:01,0.478
0.4,2014:Q3,2014-10-23,0.4675,16:01,0.361
0.44,2014:Q2,2014-07-29,0.2552,16:01,0.387
0.38,2014:Q1,2014-04-24,0.2987,16:01,0.348
0.455,2013:Q4,2014-02-03,0.3698,16:01,0.414
0.34,2013:Q3,2013-10-28,0.352,09:00,0.332
0.41,2013:Q2,2013-07-25,0.4198,16:01,0.383
0.36,2013:Q1,2013-04-23,0.3745,16:01,0.381
0.452,2012:Q4,2013-02-04,0.4517,16:01,0.385
0.29,2012:Q3,2012-10-19,0.2916,16:01,0.273
0.3357,2012:Q2,2012-07-24,0.285,16:00,0.329
0.265,2012:Q1,2012-04-24,0.275,16:01,0.241
0.31,2011:Q4,2012-02-02,0.2948,16:01,0.297
0.1918,2011:Q3,2011-10-19,0.186,16:00,0.198
0.245,2011:Q2,2011-07-21,0.2296,16:00,0.251
0.265,2011:Q1,2011-04-20,0.265,16:00,0.21
0.275,2010:Q4,2011-02-02,0.2733,16:00,0.268
0.215,2010:Q3,2010-10-25,0.2109,16:01,0.212
0.23,2010:Q2,2010-07-21,0.2295,16:01,0.225
0.2,2010:Q1,2010-04-20,0.1,16:01,0.199
0.2105,2009:Q4,2010-02-04,0.209,16:01,0.212
