Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.7731,2017:Q3,2017-11-01,0.7668,16:10,0.724
0.7925,2017:Q2,2017-08-02,0.7866,16:10,0.791
0.776,2017:Q1,2017-05-03,0.7775,16:05,0.778
0.8,2016:Q4,2017-02-13,0.8,16:05,0.776
0.7539,2016:Q3,2016-11-02,0.7508,16:15,0.762
0.7611,2016:Q2,2016-08-04,0.7548,16:05,0.863
0.73,2016:Q1,2016-05-04,0.7323,16:05,0.715
0.9764,2015:Q4,2016-02-09,0.7278,16:16,0.766
0.75,2015:Q3,2015-11-04,0.75,16:10,0.735
0.9076,2015:Q2,2015-08-05,0.7401,16:09,0.55
0.67,2015:Q1,2015-05-07,0.67,16:25,0.583
0.6684,2014:Q4,2015-02-10,0.6647,16:05,0.717
0.62,2014:Q3,2014-10-30,0.69,16:10,0.629
0.64,2014:Q2,2014-08-07,0.64,16:07,0.58
0.57,2014:Q1,2014-05-08,0.57,16:30,0.587
0.42,2013:Q4,2014-02-11,0.5698,16:15,0.603
0.57,2013:Q3,2013-10-31,0.5748,16:30,0.623
0.47,2013:Q2,2013-08-01,0.542,16:30,0.53
0.53,2013:Q1,2013-05-01,0.5238,16:30,0.593
0.58,2012:Q4,2013-02-12,0.575,16:30,0.603
0.6,2012:Q3,2012-11-01,0.6,16:30,0.56
0.51,2012:Q2,2012-08-01,0.51,16:45,0.485
0.48,2012:Q1,2012-05-07,0.4835,16:30,0.507
0.47,2011:Q4,2012-02-15,0.4754,17:00,0.67
0.51,2011:Q3,2011-11-03,0.5055,17:00,0.502
0.51,2011:Q2,2011-08-03,0.5087,17:00,0.543
0.5,2011:Q1,2011-05-05,0.4884,16:30,0.538
0.53,2010:Q4,2011-02-15,0.5272,16:14,0.558
0.48,2010:Q3,2010-11-03,0.4756,16:30,0.533
0.47,2010:Q2,2010-08-04,0.4719,16:30,0.526
0.52,2010:Q1,2010-05-04,0.5164,16:30,0.512
0.47,2009:Q4,2010-02-17,0.4695,17:00,0.41
