Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.39,2017:Q3,2017-10-25,0.393,17:00,0.443
0.4182,2017:Q2,2017-07-26,0.4503,21:36,0.372
0.7063,2017:Q1,2017-04-26,0.7093,19:33,0.328
-2.4245362661989844e-14,2016:Q4,2017-02-24,0.2822,16:30,0.259
0.35,2016:Q3,2016-10-19,2.5082,16:15,0.231
0.22,2016:Q2,2016-07-20,1.2533,16:15,0.295
0.22,2016:Q1,2016-04-26,1.411,16:47,0.299
0.4643,2015:Q4,2016-02-16,-0.969,16:33,0.476
0.61,2015:Q3,2015-10-20,0.6011,17:02,0.579
0.5233,2015:Q2,2015-07-21,0.4871,16:01,0.61
0.63,2015:Q1,2015-04-21,0.6642,16:01,0.592
0.72,2014:Q4,2015-02-10,0.72,16:01,0.785
0.79,2014:Q3,2014-10-21,0.7218,16:01,0.735
0.72,2014:Q2,2014-07-22,0.7154,16:01,0.629
0.57,2014:Q1,2014-04-22,0.57,16:00,0.501
0.79,2013:Q4,2014-02-06,0.74,16:54,0.651
0.53,2013:Q3,2013-10-22,0.49,16:00,0.585
0.48,2013:Q2,2013-07-23,0.44,16:00,0.471
0.43,2013:Q1,2013-04-23,0.43,16:01,0.462
0.57,2012:Q4,2013-02-12,0.5,16:01,0.566
0.41,2012:Q3,2012-10-23,0.41,16:08,0.575
0.49,2012:Q2,2012-07-24,0.46,16:00,0.479
0.41,2012:Q1,2012-04-24,0.41,16:16,0.447
0.41,2011:Q4,2012-02-14,0.41,16:00,0.506
0.5,2011:Q3,2011-10-25,0.5,16:10,0.462
0.39,2011:Q2,2011-07-25,0.39,16:00,0.383
0.32,2011:Q1,2011-04-26,0.35,16:00,0.369
0.345,2010:Q4,2011-02-14,0.345,16:00,0.352
0.33,2010:Q3,2010-10-27,0.33,16:00,0.335
0.39,2010:Q2,2010-07-26,0.39,07:00,0.357
0.4,2010:Q1,2010-04-28,0.4,16:00,0.32
0.375,2009:Q4,2010-02-16,0.375,16:22,0.374
