Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.49,2017:Q4,2018-01-30,0.4484,07:18,0.47
0.43,2017:Q3,2017-10-24,0.3751,07:17,0.414
0.42,2017:Q2,2017-07-26,0.3356,07:15,0.403
0.39,2017:Q1,2017-04-25,0.3403,07:18,0.348
0.5,2016:Q4,2017-01-24,0.462,07:13,0.437
0.42,2016:Q3,2016-10-25,0.4007,07:13,0.388
0.37,2016:Q2,2016-07-27,0.2961,07:13,0.324
0.28,2016:Q1,2016-04-26,0.2267,Bef-mkt,0.284
0.34,2015:Q4,2016-01-26,0.2782,06:51,0.318
0.34,2015:Q3,2015-10-27,0.2454,Bef-mkt,0.347
0.38,2015:Q2,2015-07-28,0.2786,Bef-mkt,0.369
0.35,2015:Q1,2015-04-28,0.2877,07:10,0.339
0.45,2014:Q4,2015-01-27,0.3466,07:10,0.384
0.4,2014:Q3,2014-10-28,0.3472,07:10,0.377
0.37,2014:Q2,2014-07-29,0.3283,07:12,0.376
0.31,2014:Q1,2014-04-28,0.2723,07:15,0.303
0.29,2013:Q4,2014-01-28,0.2426,Bef-mkt,0.275
0.33,2013:Q3,2013-10-30,0.3436,07:05,0.32
0.32,2013:Q2,2013-07-30,0.3292,07:10,0.307
0.3,2013:Q1,2013-04-24,0.2922,07:00,0.239
0.34,2012:Q4,2013-01-29,0.2134,07:15,0.324
0.34,2012:Q3,2012-10-24,0.3608,07:15,0.322
0.3,2012:Q2,2012-07-25,0.312,07:10,0.311
0.3,2012:Q1,2012-04-25,0.3107,07:10,0.284
0.33,2011:Q4,2012-01-25,0.3153,07:00,0.325
0.48,2011:Q3,2011-10-26,0.498,07:10,0.416
0.48,2011:Q2,2011-07-27,0.4719,07:10,0.473
0.47,2011:Q1,2011-04-27,0.4719,07:00,0.438
0.46,2010:Q4,2011-01-25,0.526,07:10,0.471
0.51,2010:Q3,2010-11-01,0.5141,07:00,0.528
0.58,2010:Q2,2010-07-28,0.5819,07:10,0.528
0.52,2010:Q1,2010-04-28,0.4858,07:00,0.423
0.44,2009:Q4,2010-01-26,0.496,06:55,0.424
