Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.54,2018:Q3,2017-11-21,0.5555,16:05,0.439
0.15,2018:Q2,2017-08-24,0.1721,16:05,0.158
0.63,2018:Q1,2017-05-25,0.5947,16:05,0.51
2.38,2017:Q4,2017-03-23,2.2992,16:05,2.289
0.49,2017:Q3,2016-11-22,0.4943,16:05,0.471
0.27,2017:Q2,2016-08-25,0.27,16:01,0.267
0.66,2017:Q1,2016-05-26,0.6668,16:05,0.622
2.4,2016:Q4,2016-03-24,2.3906,16:05,2.274
0.54,2016:Q3,2015-11-23,0.5424,08:30,0.593
0.31,2016:Q2,2015-08-27,0.3224,16:05,0.241
0.68,2016:Q1,2015-05-28,0.6884,16:05,0.586
2.15,2015:Q4,2015-03-26,2.2614,16:05,2.164
0.57,2015:Q3,2014-11-20,0.6558,16:00,0.614
0.22,2015:Q2,2014-08-21,0.2268,16:01,0.183
0.59,2015:Q1,2014-05-22,0.5917,16:05,0.57
1.9,2014:Q4,2014-03-27,1.8951,08:30,1.929
0.58,2014:Q3,2013-11-21,0.58,08:30,0.57
0.09,2014:Q2,2013-08-22,0.09,08:30,0.043
0.46,2014:Q1,2013-05-23,0.46,08:30,0.402
2.16,2013:Q4,2013-03-28,2.1599,08:30,2.086
0.38,2013:Q3,2012-11-15,0.2962,08:30,0.325
0.16,2013:Q2,2012-08-16,0.16,08:30,0.161
0.54,2013:Q1,2012-05-17,0.54,08:30,0.537
1.73,2012:Q4,2012-03-22,1.7458,08:30,1.723
0.39,2012:Q3,2011-11-17,0.4356,08:30,0.392
0.22,2012:Q2,2011-08-18,0.22,08:30,0.213
0.56,2012:Q1,2011-05-19,0.56,08:30,0.542
1.56,2011:Q4,2011-03-24,1.5736,08:30,1.557
0.38,2011:Q3,2010-11-18,0.3906,08:30,0.366
0.26,2011:Q2,2010-08-19,0.2647,08:30,0.269
0.48,2011:Q1,2010-05-20,0.4887,08:30,0.473
1.29,2010:Q4,2010-03-18,1.2887,08:30,1.275
