Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.15,2017:Q3,2017-11-02,0.1211,17:10,0.238
0.3,2017:Q2,2017-08-01,0.5576,18:09,0.24
0.29,2017:Q1,2017-05-02,0.3512,17:10,0.22
-0.27,2016:Q4,2017-02-07,-0.2962,17:07,0.19
-0.81,2016:Q3,2016-11-03,-0.8188,17:34,0.22
0.25,2016:Q2,2016-08-02,0.2581,17:05,0.203
0.21,2016:Q1,2016-04-28,0.15,17:05,0.132
-0.17,2015:Q4,2016-02-04,-0.135,16:45,0.203
0.13,2015:Q3,2015-10-29,0.039,17:10,0.221
0.24,2015:Q2,2015-08-04,0.24,17:10,0.263
0.31,2015:Q1,2015-04-28,0.3058,17:10,0.252
-0.84,2014:Q4,2015-02-10,-0.8536,17:02,-0.194
-0.64,2014:Q3,2014-11-05,-0.6907,17:20,0.198
0.31,2014:Q2,2014-07-29,0.3937,17:07,0.356
0.39,2014:Q1,2014-04-29,0.3501,17:05,0.356
0.38,2013:Q4,2014-02-04,0.4499,17:03,0.304
0.24,2013:Q3,2013-10-29,0.24,16:30,0.258
0.27,2013:Q2,2013-07-30,0.3263,17:00,0.294
0.3,2013:Q1,2013-04-30,0.1929,16:45,0.276
0.34,2012:Q4,2013-02-05,0.3354,16:10,0.272
0.25,2012:Q3,2012-10-30,0.242,16:10,0.192
0.16,2012:Q2,2012-07-31,0.0631,16:10,0.176
0.06,2012:Q1,2012-05-01,0.1038,16:17,0.132
0.17,2011:Q4,2012-02-02,0.2567,16:10,0.185
0.21,2011:Q3,2011-11-03,-0.1915,16:25,0.182
-0.15,2011:Q2,2011-07-28,-0.3269,16:07,0.011
0.2,2011:Q1,2011-05-03,0.0876,16:10,0.209
-0.28,2010:Q4,2011-02-02,-0.3819,07:00,0.164
0.06,2010:Q3,2010-10-28,0.2793,16:07,0.262
0.24,2010:Q2,2010-07-29,-0.0738,16:05,0.281
0.3,2010:Q1,2010-04-29,0.2749,16:10,0.265
0.19,2009:Q4,2010-01-28,-0.0287,16:05,0.107
