Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
9.7,2017:Q4,2018-02-01,-4.35,16:02,10.031
9.57,2017:Q3,2017-10-26,9.57,16:05,8.344
5.01,2017:Q2,2017-07-24,5.01,16:02,4.45
7.73,2017:Q1,2017-04-27,7.73,16:04,7.418
7.56,2016:Q4,2017-01-26,7.1296,16:03,7.672
7.2461,2016:Q3,2016-10-27,6.7755,16:01,6.754
6.9987,2016:Q2,2016-07-28,7.0,16:01,6.434
6.02,2016:Q1,2016-04-21,6.02,16:01,6.305
7.0629,2015:Q4,2016-02-01,6.5844,16:01,6.551
5.73,2015:Q3,2015-10-22,5.73,22:47,5.803
4.93,2015:Q2,2015-07-16,4.93,16:01,5.394
5.1858,2015:Q1,2015-04-23,5.086,Aft-mkt,5.318
5.4849,2014:Q4,2015-01-29,4.9827,Aft-mkt,5.704
4.3481,2014:Q3,2014-10-16,3.9255,Aft-mkt,5.328
5.0761,2014:Q2,2014-07-17,4.5973,Aft-mkt,5.087
10.6308,2014:Q1,2014-04-16,10.6308,Aft-mkt,5.353
9.8829,2013:Q4,2014-01-30,11.3488,Aft-mkt,5.068
8.6861,2013:Q3,2013-10-17,9.2945,Aft-mkt,4.225
7.5293,2013:Q2,2013-07-18,8.1775,Aft-mkt,4.502
9.843,2013:Q1,2013-04-18,10.4513,Aft-mkt,4.379
8.5964,2012:Q4,2013-01-22,8.6562,Aft-mkt,4.216
6.5121,2012:Q3,2012-10-18,6.4623,Aft-mkt,4.378
8.3969,2012:Q2,2012-07-19,8.5366,16:57,4.361
8.726,2012:Q1,2012-04-12,8.726,Aft-mkt,4.168
8.1975,2011:Q4,2012-01-19,8.1975,17:10,4.576
8.3072,2011:Q3,2011-10-13,8.3072,16:01,3.803
7.659,2011:Q2,2011-07-14,7.659,17:14,3.402
7.0207,2011:Q1,2011-04-14,5.4949,Aft-mkt,3.569
7.7886,2010:Q4,2011-01-20,7.7886,Aft-mkt,3.577
6.7016,2010:Q3,2010-10-14,6.7016,16:35,2.947
5.6944,2010:Q2,2010-07-15,5.6944,16:36,2.871
6.0434,2010:Q1,2010-04-15,6.0434,16:01,2.908
6.1132,2009:Q4,2010-01-21,6.1132,16:01,2.832
