Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.7,2017:Q3,2017-10-27,0.6864,07:45,0.674
0.7,2017:Q2,2017-07-28,0.8222,07:30,0.71
0.74,2017:Q1,2017-04-28,0.7373,07:45,0.626
0.95,2016:Q4,2017-02-08,0.9431,07:45,0.87
1.17,2016:Q3,2016-10-28,1.1637,07:45,1.164
1.16,2016:Q2,2016-07-27,1.1119,07:45,1.02
0.72,2016:Q1,2016-04-27,0.7182,07:45,0.714
0.93,2015:Q4,2016-02-09,0.9553,07:46,0.746
0.99,2015:Q3,2015-10-29,0.9898,08:15,0.968
0.84,2015:Q2,2015-07-29,0.8422,08:15,0.748
0.54,2015:Q1,2015-04-29,0.5497,08:15,0.443
0.59,2014:Q4,2015-02-17,-0.0238,08:15,0.577
0.87,2014:Q3,2014-10-29,0.8692,08:15,0.704
0.8,2014:Q2,2014-07-30,0.7956,08:30,0.793
0.56,2014:Q1,2014-04-29,0.4516,07:30,0.601
0.74,2013:Q4,2014-02-13,0.7579,07:30,0.634
0.68,2013:Q3,2013-10-29,0.6704,07:30,0.666
0.76,2013:Q2,2013-07-30,0.7303,07:30,0.479
0.45,2013:Q1,2013-04-26,0.4306,07:30,0.304
0.39,2012:Q4,2013-02-12,0.3684,07:30,0.2
0.53,2012:Q3,2012-10-26,0.4598,07:00,0.586
0.57,2012:Q2,2012-07-31,0.5471,07:00,0.454
-0.05,2012:Q1,2012-04-27,0.3311,06:30,0.074
0.03,2011:Q4,2012-02-14,0.0214,06:30,0.206
0.6,2011:Q3,2011-10-28,0.7246,07:00,0.264
-2.4245362661989844e-14,2011:Q2,2011-07-28,0.5384,08:00,0.26
0.42,2011:Q1,2011-04-29,0.4098,08:00,0.11
-2.4245362661989844e-14,2010:Q4,2011-02-10,-0.0702,08:05,-0.069
-2.4245362661989844e-14,2010:Q3,2010-10-28,-0.0665,07:59,0.141
-2.4245362661989844e-14,2010:Q2,2010-07-29,0.1705,07:57,0.085
-0.19,2010:Q1,2010-04-28,-0.2793,08:01,-0.025
-2.4245362661989844e-14,2009:Q4,2010-02-18,0.4398,08:00,-0.093
