Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
2.09,2017:Q3,2017-10-23,2.09,06:30,1.943
0.5317,2017:Q2,2017-07-24,0.5119,06:30,0.454
0.4292,2017:Q1,2017-04-24,0.54,06:30,0.379
1.64,2016:Q4,2017-02-06,1.6358,06:30,1.281
2.03,2016:Q3,2016-10-17,2.03,06:30,1.744
0.41,2016:Q2,2016-07-18,0.4124,06:30,0.384
0.384,2016:Q1,2016-04-18,0.3532,06:30,0.239
1.39,2015:Q4,2016-02-08,1.3913,06:30,1.294
1.58,2015:Q3,2015-10-19,1.5845,06:30,1.521
0.33,2015:Q2,2015-07-20,0.33,06:30,0.285
0.21,2015:Q1,2015-04-20,0.21,06:30,0.073
1.22,2014:Q4,2015-02-09,1.2222,06:30,1.195
1.46,2014:Q3,2014-10-20,1.4728,06:30,1.446
0.36,2014:Q2,2014-07-21,0.3727,06:30,0.356
0.14,2014:Q1,2014-04-21,0.1315,06:30,0.098
1.12,2013:Q4,2014-02-10,1.1215,06:30,1.217
1.31,2013:Q3,2013-10-21,1.1777,06:30,1.283
0.29,2013:Q2,2013-07-22,0.2949,06:30,0.343
0.0513,2013:Q1,2013-04-22,0.0499,06:30,0.037
1.1962,2012:Q4,2013-02-07,1.1968,16:05,1.163
1.24,2012:Q3,2012-10-22,1.2347,06:30,1.202
0.33,2012:Q2,2012-07-23,0.3284,06:30,0.238
0.0401,2012:Q1,2012-04-23,0.0447,06:30,0.073
1.06,2011:Q4,2012-02-06,1.0771,06:29,1.05
1.27,2011:Q3,2011-10-17,1.2788,06:30,1.301
0.3269,2011:Q2,2011-07-18,0.3311,06:30,0.385
0.12,2011:Q1,2011-04-14,0.1193,06:30,0.168
0.99,2010:Q4,2011-02-07,0.9953,06:30,0.918
1.09,2010:Q3,2010-10-18,1.09,06:30,1.042
0.29,2010:Q2,2010-07-19,0.2904,06:30,0.243
0.2496,2010:Q1,2010-04-19,0.2583,06:30,0.155
1.09,2009:Q4,2010-02-08,1.0857,06:30,0.814
