Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.1771,2017:Q3,2017-11-02,0.1386,07:02,0.114
0.0403,2017:Q2,2017-08-01,0.16,08:05,0.157
0.3076,2017:Q1,2017-05-02,0.3023,08:00,0.313
0.1714,2016:Q4,2017-02-13,0.161,08:00,0.248
0.3226,2016:Q3,2016-11-01,0.09,08:03,0.358
0.3856,2016:Q2,2016-08-09,0.1585,08:00,0.377
0.25,2016:Q1,2016-05-09,0.1016,06:01,0.406
1.5889,2015:Q4,2016-02-09,0.1586,08:01,0.472
0.496,2015:Q3,2015-11-03,0.3984,08:00,0.503
0.5201,2015:Q2,2015-08-04,0.4533,08:00,0.468
0.52,2015:Q1,2015-05-05,0.5018,08:00,0.512
0.43,2014:Q4,2015-02-10,0.43,08:00,0.475
0.54,2014:Q3,2014-11-04,0.54,08:00,0.495
0.48,2014:Q2,2014-08-05,0.48,08:00,0.503
0.5,2014:Q1,2014-05-06,0.5,08:00,0.5
0.51,2013:Q4,2014-02-11,0.51,08:00,0.563
0.57,2013:Q3,2013-10-29,0.49,08:00,0.52
0.47,2013:Q2,2013-07-30,0.46,08:00,0.497
0.51,2013:Q1,2013-04-30,0.5,08:00,0.488
0.48,2012:Q4,2013-02-12,0.46,08:00,0.487
0.47,2012:Q3,2012-10-30,0.4582,08:00,0.468
0.46,2012:Q2,2012-07-31,0.48,08:00,0.47
0.42,2012:Q1,2012-05-01,0.42,08:00,0.443
0.45,2011:Q4,2012-02-14,0.4451,08:00,0.457
0.45,2011:Q3,2011-10-31,0.4445,07:45,0.484
0.55,2011:Q2,2011-08-02,0.55,08:00,0.534
0.17,2011:Q1,2011-05-03,0.17,08:00,0.222
0.37,2010:Q4,2011-02-15,0.37,08:00,0.353
0.27,2010:Q3,2010-11-02,0.2705,08:00,0.275
0.27,2010:Q2,2010-08-03,0.27,08:00,0.248
0.21,2010:Q1,2010-04-27,0.2095,08:00,0.23
0.27,2009:Q4,2010-02-12,0.2625,08:00,0.24
