Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.5,2017:Q4,2017-11-08,0.3098,16:01,0.489
0.5,2017:Q3,2017-08-02,0.2695,16:01,0.494
0.5,2017:Q2,2017-05-10,0.3491,16:03,0.461
0.52,2017:Q1,2017-02-01,0.2965,16:01,0.509
0.52,2016:Q4,2016-11-02,0.3493,16:01,0.498
0.51,2016:Q3,2016-07-27,0.3257,16:01,0.477
0.47,2016:Q2,2016-04-27,0.2624,16:01,0.459
0.46,2016:Q1,2016-01-27,0.2569,16:01,0.422
0.43,2015:Q4,2015-11-04,0.2102,16:01,0.421
0.43,2015:Q3,2015-07-29,0.1793,16:01,0.391
0.41,2015:Q2,2015-04-29,0.1793,16:01,0.389
0.39,2015:Q1,2015-01-28,0.1535,16:01,0.363
0.43,2014:Q4,2014-11-05,0.1917,16:01,0.368
0.37,2014:Q3,2014-07-30,0.0847,16:01,0.338
0.37,2014:Q2,2014-04-30,0.0614,16:01,0.33
0.34,2014:Q1,2014-02-03,0.046,16:01,0.314
0.39,2013:Q4,2013-11-11,0.0726,16:05,0.371
0.38,2013:Q3,2013-08-05,0.0472,16:01,0.368
0.29,2013:Q2,2013-05-06,-0.0413,16:01,0.343
0.38,2013:Q1,2013-02-04,-0.0018,16:01,0.373
0.37,2012:Q4,2012-11-12,0.0015,16:01,0.363
0.35,2012:Q3,2012-07-30,0.1077,16:01,0.341
0.31,2012:Q2,2012-04-30,0.0793,06:31,0.333
0.34,2012:Q1,2012-01-30,0.12,16:01,0.323
0.34,2011:Q4,2011-11-07,0.1293,16:01,0.329
0.32,2011:Q3,2011-08-01,0.1493,16:01,0.317
0.3,2011:Q2,2011-05-02,0.0932,16:01,0.284
0.3,2011:Q1,2011-01-31,0.1193,16:01,0.282
0.3,2010:Q4,2010-11-08,0.1339,16:01,0.3
0.3,2010:Q3,2010-08-02,0.102,16:01,0.293
0.29,2010:Q2,2010-05-03,0.1116,16:01,0.293
0.29,2010:Q1,2010-02-01,0.1012,16:01,0.263
