Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
1.85,2017:Q4,2018-01-26,1.9546,06:30,1.841
1.75,2017:Q3,2017-10-20,1.9438,06:30,1.746
1.8,2017:Q2,2017-07-21,1.9881,06:30,1.778
1.66,2017:Q1,2017-04-21,1.8183,06:30,1.623
1.74,2016:Q4,2017-01-27,1.8449,06:30,1.739
1.6,2016:Q3,2016-10-21,1.7058,06:30,1.6
1.66,2016:Q2,2016-07-22,1.8174,06:30,1.641
1.53,2016:Q1,2016-04-22,1.6642,06:30,1.501
1.58,2015:Q4,2016-01-29,1.7141,06:31,1.584
1.6,2015:Q3,2015-10-16,1.7095,06:30,1.544
1.51,2015:Q2,2015-07-17,1.6158,07:00,1.492
1.41,2015:Q1,2015-04-17,1.5172,08:11,1.393
1.43,2014:Q4,2015-01-23,1.2237,07:00,1.416
1.47,2014:Q3,2014-10-17,1.5697,06:59,1.411
1.38,2014:Q2,2014-07-18,1.4756,07:00,1.358
1.29,2014:Q1,2014-04-17,1.358,07:17,1.262
1.24,2013:Q4,2014-01-24,1.2296,07:00,1.214
1.24,2013:Q3,2013-10-18,1.3379,07:00,1.244
1.28,2013:Q2,2013-07-19,1.4193,07:00,1.214
1.21,2013:Q1,2013-04-19,1.3144,07:00,1.137
1.1,2012:Q4,2013-01-25,0.3907,07:00,1.099
1.2,2012:Q3,2012-10-19,1.2787,06:30,1.136
1.14,2012:Q2,2012-07-18,1.2502,07:30,1.114
1.04,2012:Q1,2012-04-20,1.1406,07:30,0.986
1.05,2011:Q4,2012-01-27,-0.3517,07:30,1.043
1.1,2011:Q3,2011-10-21,0.9567,07:00,1.0
1.0,2011:Q2,2011-07-22,1.0803,07:30,0.98
0.88,2011:Q1,2011-04-20,0.9684,17:00,0.819
0.87,2010:Q4,2011-01-28,0.536,07:05,0.862
0.64,2010:Q3,2010-10-22,0.916,07:00,0.623
0.6,2010:Q2,2010-07-23,0.8162,07:00,0.574
0.5,2010:Q1,2010-04-23,0.7496,07:00,0.476
0.91,2009:Q4,2010-01-29,0.6028,07:00,0.901
