Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.44,2017:Q4,2017-11-21,0.4603,16:05,0.442
0.43,2017:Q3,2017-08-23,0.4375,16:05,0.422
0.4,2017:Q2,2017-05-24,0.3891,16:05,0.389
0.38,2017:Q1,2017-02-22,0.4085,16:05,0.369
0.36,2016:Q4,2016-11-22,0.1795,16:05,0.363
0.48,2016:Q3,2016-08-24,0.4868,16:11,0.45
0.41,2016:Q2,2016-05-25,0.4183,16:05,0.378
0.36,2016:Q1,2016-02-24,0.3678,16:16,0.36
0.93,2015:Q4,2015-11-24,0.3077,16:05,0.964
0.8803,2015:Q3,2015-08-20,0.3527,16:05,0.853
0.8686,2015:Q2,2015-05-21,0.3975,16:15,0.857
0.92,2015:Q1,2015-02-24,0.4234,16:05,0.912
1.06,2014:Q4,2014-11-25,0.9629,16:05,1.056
0.89,2014:Q3,2014-08-20,0.7984,16:04,0.886
0.88,2014:Q2,2014-05-22,0.7672,15:55,0.88
0.9,2014:Q1,2014-02-20,0.7879,16:04,0.845
1.01,2013:Q4,2013-11-26,0.8821,16:04,1.0
0.86,2013:Q3,2013-08-21,0.7383,16:05,0.865
0.87,2013:Q2,2013-05-22,0.7238,16:04,0.808
0.82,2013:Q1,2013-02-21,0.6828,16:04,0.707
1.16,2012:Q4,2012-11-20,0.7264,07:30,1.14
1.0,2012:Q3,2012-08-22,0.392,16:05,0.999
0.98,2012:Q2,2012-05-23,0.8121,16:05,0.913
0.92,2012:Q1,2012-02-22,0.6693,16:05,0.868
1.17,2011:Q4,2011-11-21,0.9023,16:06,1.135
1.1,2011:Q3,2011-08-18,0.9746,16:06,1.09
1.24,2011:Q2,2011-05-17,1.0252,07:30,1.209
1.36,2011:Q1,2011-02-22,1.1443,16:05,1.286
1.33,2010:Q4,2010-11-22,1.1121,16:05,1.271
1.08,2010:Q3,2010-08-19,0.8421,16:30,1.077
1.09,2010:Q2,2010-05-18,0.9155,16:05,1.053
1.1,2010:Q1,2010-02-17,0.9141,16:02,1.057
