Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.41,2017:Q4,2017-11-21,0.4075,06:30,0.405
0.3387,2017:Q3,2017-08-24,0.3382,06:30,0.368
0.3909,2017:Q2,2017-05-25,0.3903,06:30,0.399
0.4354,2017:Q1,2017-02-23,0.4432,06:30,0.451
0.4506,2016:Q4,2016-11-22,0.4497,06:30,0.454
0.3609,2016:Q3,2016-08-18,0.3328,06:30,0.346
0.3979,2016:Q2,2016-05-18,0.3983,06:30,0.388
0.43,2016:Q1,2016-02-16,0.4322,06:30,0.369
0.37,2015:Q4,2015-11-24,0.3734,06:30,0.348
0.28,2015:Q3,2015-08-19,0.2682,07:30,0.273
0.335,2015:Q2,2015-05-20,0.3354,06:30,0.314
0.345,2015:Q1,2015-02-19,0.3489,06:30,0.324
0.315,2014:Q4,2014-11-25,0.6418,06:30,0.318
0.255,2014:Q3,2014-08-21,0.2531,06:30,0.245
-2.4245362661989844e-14,2014:Q2,2014-05-21,0.2589,06:30,0.281
0.285,2014:Q1,2014-02-20,0.2844,Bef-mkt,0.285
0.29,2013:Q4,2013-11-26,0.2879,Bef-mkt,0.27
0.21,2013:Q3,2013-08-22,0.2101,06:30,0.227
0.24,2013:Q2,2013-05-23,0.2374,06:30,0.248
0.24,2013:Q1,2013-02-21,0.2379,06:30,0.246
0.245,2012:Q4,2012-11-20,0.2432,06:30,0.251
0.205,2012:Q3,2012-08-23,0.2042,06:30,0.208
0.24,2012:Q2,2012-05-23,0.2378,06:30,0.208
0.24,2012:Q1,2012-02-23,0.2381,06:30,0.245
0.215,2011:Q4,2011-11-22,0.2155,06:30,0.212
0.18,2011:Q3,2011-08-25,0.1801,06:30,0.176
0.2,2011:Q2,2011-05-25,0.198,07:00,0.205
0.1375,2011:Q1,2011-02-22,0.2744,06:30,0.219
0.225,2010:Q4,2010-11-23,0.2215,07:30,0.199
0.1575,2010:Q3,2010-08-20,0.1593,07:30,0.152
0.1675,2010:Q2,2010-05-19,0.164,07:30,0.158
0.205,2010:Q1,2010-02-18,0.204,07:30,0.174
