Comparable EPS,Year/Period,Announcement Date,Earnings EPS,Announcement Time,Estimate EPS
0.85,2015:Q2,2015-07-29,0.8138,07:30,0.835
0.97,2015:Q1,2015-04-28,0.6447,07:30,0.528
0.53,2014:Q4,2015-02-12,0.4518,07:30,0.419
0.74,2014:Q3,2014-11-06,0.6802,07:30,0.538
0.72,2014:Q2,2014-07-30,0.6488,07:30,0.57
0.6,2014:Q1,2014-04-30,0.5277,07:30,0.494
0.51,2013:Q4,2014-02-12,0.4349,07:30,0.498
0.51,2013:Q3,2013-11-06,0.4357,07:30,0.441
0.55,2013:Q2,2013-07-31,0.4826,07:46,0.511
0.52,2013:Q1,2013-05-01,0.4446,07:30,0.442
0.55,2012:Q4,2013-02-13,0.4721,07:36,0.544
0.47,2012:Q3,2012-11-07,0.3998,07:30,0.451
0.51,2012:Q2,2012-08-01,0.4343,07:30,0.493
0.47,2012:Q1,2012-05-01,0.392,07:31,0.475
0.51,2011:Q4,2012-02-14,0.4237,07:30,0.466
0.66,2011:Q3,2011-10-26,0.5878,07:33,0.66
0.94,2011:Q2,2011-07-27,0.8587,07:32,0.791
0.93,2011:Q1,2011-04-26,0.846,07:42,0.78
0.77,2010:Q4,2011-02-02,0.6187,07:54,0.931
0.74,2010:Q3,2010-10-26,0.6659,07:29,0.697
0.86,2010:Q2,2010-07-28,0.6934,07:30,0.804
0.94,2010:Q1,2010-04-27,0.9501,07:34,0.715
0.87,2009:Q4,2010-02-04,0.7313,07:28,0.691
